Receptor	Ligand	Score(pK)	stdev	Best	NN#1	NN#2	NN#3	NN#4	NN#5	NN#6	NN#7	NN#8	NN#9	NN#10	NN#11	NN#12	NN#13	NN#14	NN#15	NN#16	NN#17	NN#18	NN#19	NN#20
1b0h_protein	1b0h_ligand	8.047	2.095	12.123	7.794	10.142	6.063	3.427	7.375	8.399	8.382	7.538	10.348	7.208	5.314	5.968	7.273	8.153	8.801	9.962	11.635	7.332	12.123		
1b2h_protein	1b2h_ligand	6.361	1.863	8.854	4.724	7.29	6.409	5.241	5.15	5.935	8.719	7.103	5.549	7.23	8.059	7.53	7.256	2.34	8.388	2.015	7.079	5.483	8.854		
1b3f_protein	1b3f_ligand	6.553	2.057	10.09	6.758	10.09	6.914	2.588	6.963	5.831	4.753	7.087	5.916	7.213	8.082	6.09	9.927	2.539	6.06	6.002	7.241	4.306	9.824		
1b3l_protein	1b3l_ligand	5.919	2.263	8.65	5.466	6.332	5.853	5.405	7.06	5.526	8.65	7.087	5.83	7.208	7.784	7.281	4.809	2.502	8.55	-1.427	7.528	5.543	4.534		
1b3h_protein	1b3h_ligand	7.026	1.841	10.802	7.616	8.981	6.522	5.874	7.604	5.959	8.728	7.12	6.224	7.215	7.445	6.995	6.887	6.54	8.505	1.223	7.886	5.518	10.802		
1b6j_protein	1b6j_ligand	7.472	1.005	9.013	8.504	8.326	8.146	8.463	7.616	6.504	6.263	8.004	9.013	6.102	8.106	6.293	7.928	7.309	7.629	5.547	8.258	8.091	5.981		
1b6k_protein	1b6k_ligand	7.811	0.651	8.857	6.814	7.343	6.702	8.061	7.625	7.277	8.501	8.651	6.986	7.631	8.843	7.677	8.002	8.027	8.524	8.857	7.835	7.905	7.893		
1b4h_protein	1b4h_ligand	6.611	2.414	11.402	3.61	9.304	6.923	8.078	6.085	5.811	4.746	7.092	5.723	7.431	7.759	6.433	6.92	2.298	8.316	1.605	10.287	5.404	11.402		
1b5i_protein	1b5i_ligand	6.243	1.803	8.823	5.127	8.823	5.78	3.188	7.149	5.614	8.681	4.609	5.491	7.207	6.928	6.177	7.292	6.344	8.567	1.375	6.99	5.498	7.136		
1b4z_protein	1b4z_ligand	6.072	1.798	8.453	7.68	8.148	6.178	4.857	6.774	5.377	4.746	4.511	5.875	7.209	7.524	6.277	7.415	5.849	8.453	0.406	7.267	5.423	4.578		
1b5h_protein	1b5h_ligand	6.533	2.227	10.12	7.467	5.886	5.888	6.771	6.999	5.748	8.326	6.014	5.597	7.22	8.242	8.152	7.044	3.608	8.502	-0.789	7.476	5.506	10.12		
1b5j_protein	1b5j_ligand	6.048	2.495	8.767	5.024	6.845	6.674	6.534	7.277	5.822	4.753	7.094	5.53	7.214	6.72	7.158	8.767	2.344	8.045	-2.704	7.483	5.524	7.901		
1b05_protein	1b05_ligand	5.922	2.555	8.421	7.835	7.697	5.666	0.817	7.199	5.786	7.79	6.95	5.857	7.207	6.699	6.842	6.62	6.543	8.421	-2.303	6.809	5.415	3.68		
1b6h_protein	1b6h_ligand	6.897	2.425	9.358	7.739	7.192	6.375	6.744	7.558	6.313	8.731	7.097	5.757	7.209	8.469	9.206	8.327	5.541	8.543	-2.173	7.577	5.538	9.358		
1b6l_protein	1b6l_ligand	7.716	0.899	9.273	7.123	8.632	6.946	9.273	7.703	7.169	8.711	7.68	6.71	7.781	6.551	8.458	8.777	7.38	8.532	9.238	6.623	6.927	7.045		
1b8o_protein	1b8o_ligand	6.03	1.76	9.835	6.149	6.658	6.528	3.934	4.318	6.897	4.535	2.314	7.906	7.581	7.842	5.864	9.835	6.428	6.048	4.605	3.566	7.128	5.577		
1b8n_protein	1b8n_ligand	6.343	1.261	8.41	6.111	8.41	7.853	7.538	6.849	6.636	5.707	4.688	6.099	4.763	7.202	6.255	7.281	6.618	5.888	6.075	3.035	5.288	7.683		
1b38_protein	1b38_ligand	4.54	1.981	7.383	3.454	2.481	7.013	5.056	6.337	-0.073	4.996	7.383	2.049	4.806	6.757	6.155	2.94	4.277	4.755	4.487	2.887	7.302	2.812		
1bcu_protein	1bcu_ligand	3.277	0.603	4.171	3.349	1.948	3.329	3.308	2.814	4.171	3.357	2.706	3.864	3.027	3.509	2.875	2.614	4.067	2.861	4.062	3.941	2.867	2.872		
1bdq_protein	1bdq_ligand	7.817	1.396	9.89	6.682	7.007	8.865	7.538	7.658	9.355	8.534	8.546	9.89	6.505	7.18	4.03	8.66	9.628	7.07	8.798	6.817	8.042	6.52		
1bai_protein	1bai_ligand	7.317	2.039	10.363	7.787	4.969	5.751	6.431	5.971	6.708	3.886	7.511	10.026	10.363	6.866	10.109	7.137	6.436	8.575	10.195	3.838	6.727	10.167		
1b9j_protein	1b9j_ligand	7.248	2.021	10.742	7.953	6.823	7.718	7.721	7.318	6.337	8.565	7.155	5.801	7.224	8.587	10.742	8.745	3.901	8.057	1.592	8.148	5.557	10.07		
1b7h_protein	1b7h_ligand	6.912	1.455	9.406	8.014	8.021	7.151	4.366	7.149	5.717	8.693	7.003	6.669	7.208	6.708	6.175	7.641	6.491	8.514	3.183	7.686	5.555	9.406		
1bgq_protein	1bgq_ligand	7.638	2.097	9.762	9.164	7.67	9.186	7.034	8.442	8.129	8.372	8.67	6.248	9.761	8.445	7.051	2.368	8.733	6.507	9.262	2.071	9.762	7.917		
1b32_protein	1b32_ligand	7.251	1.653	11.197	7.949	9.886	7.181	3.82	7.216	6.037	8.38	7.127	5.571	7.211	8.388	7.581	7.182	6.537	8.61	5.158	7.57	5.462	11.197		
1bhf_protein	1bhf_ligand	7.597	3.41	18.484	5.201	10.882	4.527	4.043	7.049	6.743	6.953	4.895	4.229	9.852	5.146	7.08	7.402	6.854	6.921	9.519	5.285	8.685	12.186		
1b40_protein	1b40_ligand	6.879	1.892	10.99	7.972	9.224	7.433	2.601	7.345	5.61	8.728	5.354	6.521	7.212	7.948	6.336	7.273	3.696	8.302	5.495	7.257	5.396	10.99		
1b51_protein	1b51_ligand	6.49	1.82	8.504	7.344	5.301	5.936	6.072	6.772	5.931	8.504	7.078	5.579	7.208	7.726	7.965	6.682	6.513	8.487	-0.142	7.323	5.481	7.318		
1b46_protein	1b46_ligand	6.151	2.139	8.517	7.968	4.435	6.911	3.208	7.563	5.955	4.744	7.086	6.268	7.211	8.517	6.509	6.912	2.539	8.479	0.423	8.268	5.446	7.663		
1b52_protein	1b52_ligand	6.906	1.573	10.542	6.873	4.786	6.891	8.086	6.439	6.067	8.613	7.08	5.434	7.226	8.62	7.156	7.226	6.472	7.921	2.997	7.276	5.472	10.542		
1b58_protein	1b58_ligand	6.919	1.682	11.011	7.857	8.626	7.342	3.398	7.016	5.545	8.465	7.08	6.081	7.208	7.47	6.014	7.593	4.632	8.477	5.793	7.194	4.694	11.011		
1bhx_protein	1bhx_ligand	6.78	0.948	8.815	6.587	7.41	5.999	6.74	6.611	5.749	8.815	6.077	5.88	5.874	6.464	6.437	5.423	7.282	8.42	8.371	7.656	7.026	6.319		
1bju_protein	1bju_ligand	5.83	1.631	8.601	6.563	6.486	8.601	4.3	3.668	5.386	5.792	4.403	5.582	4.829	8.443	6.871	3.656	6.053	7.72	3.891	3.792	5.477	8.385		
1bjv_protein	1bjv_ligand	5.72	0.913	7.684	5.82	5.719	6.534	4.682	4.794	6.579	6.005	4.18	5.906	6.625	7.684	5.241	6.163	6.324	5.554	4.447	4.744	5.535	4.987		
1bma_protein	1bma_ligand	5.625	1.583	9.195	3.302	5.272	3.979	6.874	3.068	5.439	5.748	5.827	8.474	5.809	3.869	9.195	6.476	5.868	5.826	6.069	3.653	6.642	6.353		
1bty_protein	1bty_ligand	4.102	0.777	6.181	3.963	4.011	5.019	4.696	4.848	4.609	4.333	3.902	3.327	3.945	4.298	3.68	6.181	3.281	4.057	4.052	2.451	4.03	3.225		
1bm7_protein	1bm7_ligand	6.839	3.252	18.467	18.467	5.116	5.646	7.7	6.042	5.339	4.907	6.897	9.565	6.939	4.551	8.24	7.264	7.594	7.022	8.748	4.561	5.665	2.092		
1br6_protein	1br6_ligand	6.122	1.792	9.112	7.76	5.257	3.795	7.282	8.317	4.994	5.476	5.953	3.617	3.629	4.853	5.62	6.492	8.953	4.932	8.552	9.112	5.232	4.773		
1bv7_protein	1bv7_ligand	9.129	1.16	11.852	10.141	8.655	7.707	11.185	9.462	9.97	9.508	8.196	8.828	9.193	8.824	11.852	9.541	8.812	8.741	7.678	6.934	8.674	8.637		
1bwa_protein	1bwa_ligand	8.064	0.763	9.344	9.344	6.948	7.806	8.883	8.663	7.836	8.549	8.358	7.844	7.964	8.615	5.927	7.331	8.351	8.668	7.852	8.438	7.553	8.582		
1bv9_protein	1bv9_ligand	9.127	1.102	11.358	9.444	6.546	9.188	9.629	8.351	9.123	8.495	8.077	9.148	10.185	9.426	11.358	10.61	8.675	8.678	9.625	9.925	7.372	8.609		
1bwb_protein	1bwb_ligand	8.192	2.308	11.062	10.658	8.901	0.571	7.768	10.023	8.806	4.754	7.597	7.848	7.757	7.699	8.81	7.743	6.74	8.627	10.009	9.045	11.062	9.408		
1bxo_protein	1bxo_ligand	7.783	1.318	9.406	9.239	9.366	8.028	7.661	8.743	6.314	6.921	7.942	8.866	6.423	8.458	9.406	8.225	5.723	9.023	6.929	5.009	7.84	9.169		
1bxq_protein	1bxq_ligand	7.705	2.033	13.12	9.169	6.439	6.434	6.804	8.045	5.844	7.026	13.12	6.66	5.408	9.22	6.647	8.17	7.813	9.517	8.469	6.698	6.673	11.355		
1bp0_protein	1bp0_ligand	4.495	1.883	7.535	4.445	0.673	7.535	7.391	2.987	3.846	4.909	5.223	5.642	4.707	2.93	6.004	4.092	3.39	6.812	2.718	2.538	3.888	2.755		
1bzj_protein	1bzj_ligand	8.761	4.611	18.483	4.614	18.483	13.24	2.599	18.139	15.88	4.769	9.746	3.68	7.208	6.107	11.394	4.992	7.023	5.382	7.928	9.861	6.888	9.734		
1bzc_protein	1bzc_ligand	8.489	4.098	18.471	4.745	18.471	13.983	0.809	4.3	15.391	6.021	10.533	5.016	7.208	8.631	6.407	6.1	7.298	8.866	9.626	11.565	9.869	8.067		
1c5n_protein	1c5n_ligand	5.035	1.116	6.963	5.135	6.359	4.658	2.643	4.917	5.755	3.936	4.417	5.005	4.523	3.416	6.963	5.874	4.257	6.86	4.599	4.488	6.442	5.499		
1c4u_protein	1c4u_ligand	10.176	1.181	12.801	9.493	10.84	9.508	11.141	10.02	10.314	12.801	6.98	10.027	9.333	10.718	9.456	10.087	10.951	10.563	8.768	11.511	11.109	9.82		
1c5p_protein	1c5p_ligand	4.574	0.928	6.259	4.967	4.656	3.524	4.565	5.476	5.207	3.635	4.089	4.246	5.923	6.259	5.357	4.009	3.316	5.154	3.857	6.002	3.599	3.314		
1c5c_protein	1c5c_ligand	7.499	3.713	13.203	11.596	7.856	9.777	10.937	10.898	5.807	5.35	10.044	4.35	7.376	7.222	13.203	9.337	-0.816	0.986	8.567	5.853	1.994	9.872		
1bq4_protein	1bq4_ligand	4.749	2.736	13.964	6.016	13.964	6.07	2.568	0.662	3.228	2.436	7.279	4.485	2.521	4.922	3.527	4.699	6.466	5.662	2.724	2.888	5.326	5.125		
1c5o_protein	1c5o_ligand	3.723	0.728	4.885	4.206	3.905	4.109	4.146	4.885	4.341	3.568	3.948	4.106	2.597	3.003	3.671	4.429	3.566	4.02	4.137	1.858	2.809	3.032		
1c5s_protein	1c5s_ligand	5.08	1.338	6.851	5.478	5.019	4.634	2.09	5.49	5.772	5.048	5.062	6.136	1.975	6.851	6.495	4.6	6.586	5.363	2.954	5.664	5.091	5.449		
1c5q_protein	1c5q_ligand	5.725	1.221	7.976	5.673	5.552	5.074	3.352	6.379	6.009	7.976	5.221	5.724	6.229	3.941	6.238	3.325	6.479	6.07	4.871	7.314	5.854	7.453		
1c5t_protein	1c5t_ligand	5.159	0.93	7.291	5.647	3.959	4.884	6.239	4.428	5.397	4.385	5.256	5.385	5.556	4.175	5.324	7.09	7.291	5.137	5.141	4.173	4.52	5.228		
1c5x_protein	1c5x_ligand	5.981	1.553	8.409	4.803	5.285	2.394	4.185	5.638	7.249	7.895	8.409	7.209	5.438	5.147	4.125	4.833	7.176	5.623	6.609	7.509	5.405	8.042		
1c5y_protein	1c5y_ligand	4.846	1.281	7.214	4.309	5.076	3.913	4.0	5.151	5.168	5.676	4.447	5.997	1.448	5.636	3.664	7.214	6.687	4.567	4.273	6.104	3.391	5.298		
1c3x_protein	1c3x_ligand	6.703	3.158	13.452	8.372	4.655	8.02	6.0	8.2	5.435	10.989	6.364	4.434	2.156	3.439	6.652	9.35	13.452	3.993	5.538	1.344	12.25	6.098		
1c70_protein	1c70_ligand	9.581	1.83	15.62	10.504	8.831	12.91	8.207	10.746	8.791	9.001	8.782	8.591	8.329	8.288	8.672	10.592	8.604	8.742	9.012	8.678	9.996	8.717		
1bzy_protein	1bzy_ligand	6.097	2.0	9.786	4.466	5.676	6.653	7.81	6.456	4.01	6.157	7.806	2.407	4.947	9.201	5.983	9.786	7.819	7.464	6.511	2.708	5.874	3.401		
1c83_protein	1c83_ligand	4.731	1.163	7.323	3.441	4.724	5.582	1.91	3.69	5.372	4.892	5.565	4.599	4.511	3.61	5.091	7.323	4.058	5.41	6.649	4.326	4.961	4.487		
1ceb_protein	1ceb_ligand	4.918	1.35	7.158	4.908	4.803	4.534	5.635	5.422	5.659	4.966	3.818	5.341	4.161	7.158	5.448	6.278	4.635	3.913	2.678	1.192	5.186	6.103		
1bxr_protein	1bxr_ligand	4.845	2.897	11.168	11.168	4.909	-1.397	5.369	9.258	2.883	6.298	3.885	3.627	4.151	4.577	5.953	2.854	0.375	5.615	5.202	7.109	3.24	3.086		
1c86_protein	1c86_ligand	4.142	1.723	6.85	0.532	4.961	4.968	0.841	2.676	5.302	5.221	5.728	4.044	2.993	4.813	4.277	4.354	2.419	4.977	6.85	1.713	5.218	4.971		
1c84_protein	1c84_ligand	5.051	0.958	7.337	3.419	4.783	5.348	5.277	5.383	5.08	4.867	4.668	4.88	4.565	4.514	5.55	6.99	3.38	4.984	7.337	4.348	5.321	5.909		
1c87_protein	1c87_ligand	4.095	1.994	6.473	0.086	5.052	6.473	-0.479	2.504	5.902	4.836	3.936	2.549	3.691	5.331	4.507	5.533	4.583	4.203	6.163	1.07	5.107	4.685		
1d3p_protein	1d3p_ligand	7.167	2.489	11.248	6.287	5.312	9.111	4.221	6.496	9.581	4.42	7.188	5.697	5.119	6.242	10.121	7.742	5.022	9.196	2.469	6.725	10.261	10.879		
1d3d_protein	1d3d_ligand	8.044	4.163	16.706	0.961	1.593	9.041	9.055	8.196	13.355	5.632	7.532	5.632	3.048	8.527	16.706	5.573	8.594	9.348	3.236	11.715	7.213	12.137		
1c88_protein	1c88_ligand	4.538	1.475	6.846	3.241	5.312	5.66	0.07	3.937	5.593	4.856	3.629	5.686	4.726	5.166	4.86	4.082	2.172	5.553	6.846	3.966	5.287	5.053		
1d4i_protein	1d4i_ligand	8.77	1.319	10.741	10.741	5.821	7.713	7.981	10.251	8.291	8.788	8.03	9.594	9.996	8.669	10.675	9.912	7.441	8.68	8.802	9.46	9.92	6.668		
1d4h_protein	1d4h_ligand	8.681	1.241	10.956	10.956	6.959	7.082	8.884	8.851	8.167	8.796	7.734	8.919	7.718	8.709	10.933	9.829	6.941	8.615	8.864	8.638	10.338	9.743		
1d4l_protein	1d4l_ligand	9.528	1.209	12.091	8.922	9.341	9.793	10.143	9.423	7.624	8.932	8.485	10.693	9.468	10.534	9.259	12.091	9.565	8.82	11.209	9.252	10.909	9.31		
1d4j_protein	1d4j_ligand	8.856	1.021	11.127	8.297	9.709	8.308	8.882	8.633	7.713	8.916	8.638	8.96	10.069	9.636	10.159	10.211	11.127	8.199	7.472	8.615	8.183	8.298		
1d4k_protein	1d4k_ligand	7.39	1.141	9.81	8.099	6.047	6.603	8.372	7.494	6.382	8.413	5.769	7.507	7.273	9.075	6.515	9.81	6.711	7.935	8.663	7.032	7.76	5.455		
1d4p_protein	1d4p_ligand	6.594	1.708	9.193	6.644	5.954	8.15	5.9	6.563	6.547	7.97	0.895	6.275	9.193	8.222	6.567	7.882	7.022	5.675	7.513	6.036	6.483	7.611		
1d7i_protein	1d7i_ligand	2.486	1.236	4.749	4.288	4.401	1.318	3.998	2.422	2.103	1.807	3.529	2.62	3.62	0.775	2.331	2.231	2.449	2.212	0.736	1.142	1.932	4.749		
1d4y_protein	1d4y_ligand	10.572	2.371	17.962	9.952	10.778	9.471	10.384	7.894	10.644	9.724	12.087	17.962	10.268	8.758	11.345	12.257	8.212	7.096	12.069	7.917	12.812	11.738		
1d7j_protein	1d7j_ligand	1.31	1.156	2.948	1.119	0.461	1.475	2.677	2.948	0.559	0.198	0.83	2.76	2.429	-1.212	-0.19	1.253	2.388	2.631	2.348	1.174	0.867	1.531		
1det_protein	1det_ligand	5.055	1.763	9.52	4.934	4.8	4.384	0.734	5.107	6.964	4.34	6.557	5.317	9.52	6.189	3.509	4.943	3.983	5.963	5.9	4.285	3.452	6.513		
1d6w_protein	1d6w_ligand	7.676	1.919	13.107	7.338	9.275	7.656	8.479	8.131	13.107	8.475	5.518	7.538	6.667	5.078	7.675	5.195	4.899	8.971	8.115	6.43	8.038	10.077		
1d9i_protein	1d9i_ligand	7.289	1.564	10.734	7.718	7.936	3.932	6.102	6.598	6.625	8.47	4.846	7.816	7.696	7.792	8.38	7.46	7.446	6.382	5.961	6.87	10.734	10.147		
1dl7_protein	1dl7_ligand	7.876	3.032	15.807	7.818	6.258	8.71	12.06	6.67	7.045	8.383	6.72	15.807	11.429	2.463	7.501	6.541	4.479	4.951	7.048	11.972	7.925	5.495		
1dgm_protein	1dgm_ligand	2.246	1.908	5.895	0.8	1.654	5.895	0.043	0.223	4.998	3.21	3.046	1.487	-0.277	2.799	3.222	3.971	3.824	0.027	-0.477	2.43	1.991	5.031		
1dhj_protein	1dhj_ligand	7.363	1.599	11.526	5.565	6.654	7.515	4.84	9.808	6.751	7.776	7.077	6.452	7.584	9.675	6.655	8.481	6.662	5.961	11.526	7.631	5.567	8.147		
1dhi_protein	1dhi_ligand	6.635	2.174	11.186	5.629	4.011	6.568	1.647	8.345	6.089	5.988	6.983	6.866	7.205	10.775	3.466	7.492	5.514	6.028	11.186	7.563	6.503	7.918		
1dmp_protein	1dmp_ligand	9.178	0.681	10.35	9.624	8.807	9.352	9.875	9.001	9.848	8.736	8.977	10.321	9.303	9.002	10.35	8.335	9.755	8.366	9.698	9.052	7.974	9.036		
1dif_protein	1dif_ligand	9.796	2.045	12.014	10.489	10.983	3.472	11.745	9.446	11.19	10.341	9.185	10.566	10.532	10.344	8.12	9.823	10.367	12.014	10.774	10.712	10.486	9.912		
1df8_protein	1df8_ligand	10.441	0.833	11.845	11.009	10.248	10.835	11.111	10.404	11.124	10.317	9.024	11.238	10.778	9.954	10.617	11.026	9.33	10.831	11.264	11.845	9.49	8.793		
1cet_protein	1cet_ligand	3.226	0.73	4.623	3.051	2.814	4.316	3.183	3.457	1.782	2.111	2.937	4.056	3.875	2.891	2.52	3.022	3.24	3.966	3.261	4.623	2.492	3.036		
1dar_protein	1dar_ligand	4.787	2.859	12.169	4.325	5.36	5.404	0.407	7.2	0.673	6.572	4.51	1.362	0.56	3.762	5.428	6.172	12.169	5.676	4.532	2.808	5.24	8.878		
1drj_protein	1drj_ligand	3.781	1.546	6.078	5.079	6.061	3.255	1.962	2.957	4.717	3.167	1.352	4.979	1.762	2.621	3.823	2.137	4.178	6.078	5.346	5.059	1.435	5.234		
1drk_protein	1drk_ligand	4.213	1.641	6.987	5.157	5.428	0.142	2.314	5.934	4.444	4.178	3.861	6.987	2.071	2.581	3.069	4.296	4.674	3.6	6.198	5.619	3.564	5.722		
1dzk_protein	1dzk_ligand	6.078	0.259	6.719	6.033	6.083	5.815	5.931	6.141	6.145	6.719	6.163	6.007	6.48	6.309	5.489	6.293	5.998	5.978	5.75	5.981	6.073	6.13		
1dud_protein	1dud_ligand	5.209	1.119	7.288	6.292	5.009	7.288	5.156	4.963	5.282	2.727	4.492	5.727	4.851	4.308	6.05	4.1	4.293	4.308	5.224	7.058	5.585	4.597		
1dqn_protein	1dqn_ligand	5.089	2.402	9.676	4.197	9.676	2.138	8.417	4.613	4.742	8.676	4.35	2.607	6.392	9.028	2.106	4.924	1.558	5.249	2.894	4.575	4.535	4.204		
1e3v_protein	1e3v_ligand	4.685	1.933	7.996	6.094	6.114	4.701	6.037	4.34	4.235	6.218	7.009	5.036	7.996	3.197	3.951	2.93	1.038	7.727	1.09	5.153	2.97	3.509		
