Receptor	Ligand	DSAS_Score_pK	buried%	ligand_sasa	protein_sasa	complex_sasa
1f8d_protein	1f8d_ligand	287.141312	66.111995	434.325592	52430.652344	52290.695312
1f8e_protein	1f8e_ligand	293.371124	65.950401	444.835999	52737.472656	52595.566406
1fcx_protein	1fcx_ligand	462.136139	80.032261	577.437317	12410.663086	12063.828125
1fch_protein	1fch_ligand	551.878235	59.851213	922.083618	14537.711914	14356.039062
1fcy_protein	1fcy_ligand	458.012268	80.130200	571.585083	12455.071289	12110.631836
1fcz_protein	1fcz_ligand	449.447906	80.501796	558.307922	12458.890625	12118.302734
1fd0_protein	1fd0_ligand	470.194305	79.963034	588.014587	12406.934570	12054.560547
1fh7_protein	1fh7_ligand	249.700790	61.905407	403.358612	12680.544922	12584.501953
1fh8_protein	1fh8_ligand	243.052307	61.584130	394.667114	12776.752930	12685.315430
1fh9_protein	1fh9_ligand	264.214920	60.938640	433.575348	12730.851562	12635.997070
1fiv_protein	1fiv_ligand	835.530762	75.428126	1107.717773	11909.996094	11346.652344
1fkb_protein	1fkb_ligand	444.190399	43.706108	1016.311951	6401.221680	6529.152832
1fhd_protein	1fhd_ligand	265.858597	60.842863	436.959381	12593.917969	12499.160156
1fkg_protein	1fkg_ligand	359.222900	57.473060	625.028320	6260.492188	6167.074707
1fjs_protein	1fjs_ligand	429.455414	58.216389	737.688171	14122.316406	14001.093750
1fkh_protein	1fkh_ligand	364.403229	56.252164	647.803040	6251.001953	6169.998535
1fkf_protein	1fkf_ligand	509.682526	54.546890	934.393372	11469.726562	11384.754883
1fki_protein	1fki_ligand	341.683472	57.888044	590.248779	12032.772461	11939.654297
1fkn_protein	1fkn_ligand	700.249756	60.354189	1160.233887	18106.296875	17866.031250
1fl3_protein	1fl3_ligand	413.653961	78.701153	525.600891	21436.080078	21134.373047
1flr_protein	1flr_ligand	327.066147	73.023749	447.890106	21068.613281	20862.371094
1fpc_protein	1fpc_ligand	482.499207	69.452806	694.715210	13414.505859	13144.222656
1fm9_protein	1fm9_ligand	639.558075	79.404963	805.438416	26843.191406	26369.513672
1fq5_protein	1fq5_ligand	710.737122	67.811501	1048.107056	16018.878906	15645.511719
1fo0_protein	1fo0_ligand	978.624817	79.363399	1233.093384	32769.347656	32045.191406
1fzj_protein	1fzj_ligand	800.110107	64.459446	1241.261230	21114.912109	20755.953125
1fzk_protein	1fzk_ligand	785.184631	62.956022	1247.195435	21604.447266	21281.273438
1fzm_protein	1fzm_ligand	885.904480	69.587791	1273.074585	21467.087891	20968.353516
1fzq_protein	1fzq_ligand	298.104492	55.716805	535.035156	10037.621094	9976.447266
1g2k_protein	1g2k_ligand	633.523926	75.920852	834.453125	10748.959961	10316.365234
1fzo_protein	1fzo_ligand	785.267151	65.637898	1196.362427	20893.542969	20519.371094
1g3d_protein	1g3d_ligand	222.716568	57.513866	387.239777	10143.980469	10085.787109
1g2l_protein	1g2l_ligand	461.418182	60.566496	761.837341	15258.534180	15097.535156
1g3e_protein	1g3e_ligand	264.704056	66.689224	396.921783	10165.235352	10032.749023
1g7f_protein	1g7f_ligand	398.978363	52.162778	764.871765	14619.460938	14586.375977
1g7g_protein	1g7g_ligand	456.915314	52.989214	862.279846	14431.091797	14379.541016
1g7v_protein	1g7v_ligand	372.666687	68.620406	543.084351	14418.587891	14216.338867
1g30_protein	1g30_ligand	452.300781	56.142095	805.635742	13328.563477	13229.597656
1g7q_protein	1g7q_ligand	709.685486	65.195215	1088.554565	20435.470703	20104.654297
1g35_protein	1g35_ligand	654.648071	74.161532	882.732666	10812.272461	10385.708984
1g32_protein	1g32_ligand	433.834686	65.660980	660.719177	13305.971680	13099.021484
1g74_protein	1g74_ligand	395.890137	76.241752	519.256348	7575.752441	7303.228516
1g2o_protein	1g2o_ligand	290.439590	75.057270	386.957306	29520.144531	29326.222656
1g36_protein	1g36_ligand	361.819214	55.332157	653.904053	9913.958984	9844.224609
1g85_protein	1g85_ligand	244.952301	80.170967	305.537415	18323.767578	18139.400391
1gfy_protein	1gfy_ligand	244.501938	65.124713	375.436493	13993.164062	13879.596680
1gaf_protein	1gaf_ligand	309.493225	68.892869	449.238403	21937.757812	21768.009766
1gar_protein	1gar_ligand	595.511810	63.099402	943.767761	19163.042969	18915.787109
1gai_protein	1gai_ligand	421.329346	55.561547	758.311035	18046.998047	17962.650391
1ghv_protein	1ghv_ligand	258.835571	68.117381	379.984619	14122.956055	13985.269531
1ghz_protein	1ghz_ligand	220.776978	57.251402	385.627197	9932.186523	9876.259766
1gj6_protein	1gj6_ligand	312.661224	60.719761	514.924988	9953.973633	9843.576172
1gi7_protein	1gi7_ligand	225.403259	58.709833	383.927612	11866.004883	11799.125977
1gjc_protein	1gjc_ligand	292.200485	59.193239	493.638275	11968.395508	11877.632812
1gnm_protein	1gnm_ligand	614.776459	68.835579	893.108582	10516.286133	10179.841797
1gnn_protein	1gnn_ligand	604.985291	68.693528	880.702026	10541.732422	10212.463867
1gno_protein	1gno_ligand	573.553375	65.479363	875.929993	10542.853516	10271.676758
1g98_protein	1g98_ligand	233.710175	68.759925	339.893005	41905.875000	41778.347656
1gvw_protein	1gvw_ligand	603.136078	64.198449	939.487000	14756.012695	14489.227539
1gvx_protein	1gvx_ligand	684.831177	59.834658	1144.539307	14812.952148	14587.829102
1gpk_protein	1gpk_ligand	320.524170	79.818569	401.565918	21419.693359	21180.210938
1gpn_protein	1gpn_ligand	318.686493	79.443932	401.146423	21108.708984	20872.482422
1gyx_protein	1gyx_ligand	147.980530	62.950001	235.076294	8508.142578	8447.257812
1gyy_protein	1gyy_ligand	169.217712	56.172606	301.245972	8466.229492	8429.040039
1gwv_protein	1gwv_ligand	255.593491	56.166381	455.064911	14192.723633	14136.601562
1h0a_protein	1h0a_ligand	257.059891	57.189496	449.487946	10313.600586	10248.968750
1gx8_protein	1gx8_ligand	378.485809	69.439106	545.061462	16460.119141	16248.208984
1grp_protein	1grp_ligand	165.602692	58.021451	285.416321	33954.414062	33908.625000
1h6h_protein	1h6h_ligand	275.401215	37.907502	726.508484	9989.210938	10164.916992
1h4w_protein	1h4w_ligand	188.867943	75.583036	249.881393	10467.710938	10339.856445
1h5v_protein	1h5v_ligand	499.682098	49.414424	1011.206970	12368.763672	12380.606445
1h1s_protein	1h1s_ligand	395.190552	68.759826	574.740479	25892.992188	25677.351562
1hbv_protein	1hbv_ligand	619.205872	74.870242	827.038696	10485.044922	10073.671875
1h46_protein	1h46_ligand	315.206253	69.857182	451.215240	17961.152344	17781.955078
1hi3_protein	1hi3_ligand	202.811844	40.601451	499.518707	7865.357910	7959.252930
1h22_protein	1h22_ligand	514.512543	71.129964	723.341492	21585.322266	21279.638672
1hi4_protein	1hi4_ligand	302.135101	59.175698	510.572937	7733.974121	7640.276855
1h23_protein	1h23_ligand	539.691101	71.415076	755.710327	21717.658203	21393.986328
1hi5_protein	1hi5_ligand	231.861130	46.026970	503.750580	7871.015137	7911.043457
1h2t_protein	1h2t_ligand	472.606934	55.298213	854.651367	40761.410156	40670.847656
1hih_protein	1hih_ligand	619.153168	79.636780	777.471375	10483.279297	10022.444336
1hmr_protein	1hmr_ligand	415.683350	78.833617	527.291992	7876.309570	7572.234863
1hii_protein	1hii_ligand	621.171722	80.581443	770.862000	10682.837891	10211.356445
1hms_protein	1hms_ligand	425.478485	80.116144	531.077087	7931.148438	7611.268555
1hmt_protein	1hmt_ligand	416.211578	79.692749	522.270325	7919.811523	7609.658691
1hos_protein	1hos_ligand	650.178131	68.846968	944.381653	10704.111328	10348.136719
1hn4_protein	1hn4_ligand	604.546692	76.723723	787.952759	14154.361328	13733.220703
1hpo_protein	1hpo_ligand	475.289825	71.667640	663.186096	10490.176758	10202.783203
1hps_protein	1hps_ligand	642.845306	72.218463	890.139832	10601.246094	10205.695312
1hk4_protein	1hk4_ligand	386.138336	67.217817	574.458313	32818.761719	32620.943359
1hpv_protein	1hpv_ligand	550.251892	77.609162	709.003784	10362.213867	9970.713867
1hpx_protein	1hpx_ligand	591.922241	72.456960	816.929443	10442.707031	10075.791992
1hsh_protein	1hsh_ligand	656.083527	74.938147	875.500061	10639.677734	10203.010742
1hp5_protein	1hp5_ligand	235.690735	69.666048	338.315063	19683.359375	19550.292969
1hvh_protein	1hvh_ligand	573.192200	76.861312	745.748657	10586.356445	10185.720703
1hvi_protein	1hvi_ligand	720.633698	74.520824	967.023254	10603.113281	10128.869141
1hvj_protein	1hvj_ligand	713.626770	74.083312	963.276001	10663.057617	10199.080078
1hvk_protein	1hvk_ligand	733.666931	74.590822	983.588745	10516.426758	10032.681641
1hvl_protein	1hvl_ligand	718.907867	74.790351	961.230774	10529.897461	10053.312500
1hvr_protein	1hvr_ligand	606.968689	76.395008	794.513550	10475.547852	10056.124023
1hvs_protein	1hvs_ligand	693.032837	72.688312	953.430908	10623.402344	10190.767578
1hwr_protein	1hwr_ligand	442.299072	75.938619	582.442871	10494.330078	10192.174805
1hxb_protein	1hxb_ligand	633.522369	73.513145	861.781067	10508.589844	10103.326172
1hxw_protein	1hxw_ligand	672.922729	72.258283	931.274170	10496.519531	10081.948242
1ie9_protein	1ie9_ligand	549.364807	84.143829	652.887817	13669.533203	13223.691406
1i7z_protein	1i7z_ligand	349.342041	76.098610	459.064941	21824.914062	21585.294922
1i2s_protein	1i2s_ligand	189.340958	64.649007	292.875275	22475.478516	22389.671875
1ii5_protein	1ii5_ligand	187.277588	69.843430	268.139160	19982.257812	19875.841797
1i5r_protein	1i5r_ligand	706.049286	74.565728	946.881775	23598.345703	23133.128906
1iiq_protein	1iiq_ligand	671.137878	72.714788	922.973022	10706.965820	10287.663086
1ikt_protein	1ikt_ligand	475.647064	74.913784	634.925964	7077.024902	6760.656738
1ivp_protein	1ivp_ligand	735.886658	70.610749	1042.173706	10875.958008	10446.358398
1iih_protein	1iih_ligand	196.206314	72.800521	269.512238	21127.011719	21004.111328
1izh_protein	1izh_ligand	681.599976	75.803595	899.165771	10557.958984	10093.924805
1igj_protein	1igj_ligand	330.821594	49.941915	662.412720	42411.492188	42412.261719
1izi_protein	1izi_ligand	652.359589	71.795699	908.633240	9835.175781	9439.089844
1j4r_protein	1j4r_ligand	412.424805	54.400564	758.125977	6158.113770	6091.390137
1j14_protein	1j14_ligand	186.972023	74.981916	249.356155	10187.284180	10062.696289
1j01_protein	1j01_ligand	240.291809	60.665145	396.095337	12701.263672	12616.775391
1j16_protein	1j16_ligand	187.123817	74.298794	251.853104	10100.529297	9978.134766
1j17_protein	1j17_ligand	413.898285	62.237539	665.029968	10190.443359	10027.676758
1ik4_protein	1ik4_ligand	172.893494	64.093538	269.751831	35046.328125	34970.292969
1jak_protein	1jak_ligand	239.593460	70.519828	339.753326	19781.105469	19641.671875
1jgl_protein	1jgl_ligand	291.403641	67.557378	431.342438	21469.433594	21317.968750
1jet_protein	1jet_ligand	464.617126	78.851266	589.232300	21671.916016	21331.914062
1jeu_protein	1jeu_ligand	523.906189	79.501138	658.992065	22747.285156	22358.464844
1jev_protein	1jev_ligand	578.024597	79.623028	725.951538	21846.380859	21416.283203
1jn4_protein	1jn4_ligand	412.616730	54.700250	754.323303	7152.064453	7081.154297
1jq8_protein	1jq8_ligand	522.543243	67.655534	772.358459	7579.138672	7306.410645
1jvu_protein	1jvu_ligand	239.567078	58.387274	410.307007	7166.208496	7097.381348
1jyq_protein	1jyq_ligand	492.710052	55.385889	889.594910	10444.298828	10348.473633
1jmf_protein	1jmf_ligand	272.755142	64.918073	420.152863	29354.863281	29229.505859
1jmg_protein	1jmg_ligand	278.937515	67.294932	414.500031	29257.812500	29114.437500
1k1i_protein	1k1i_ligand	312.448456	49.446724	631.889099	10024.066406	10031.058594
1jqy_protein	1jqy_ligand	339.092590	53.005732	639.728149	22980.189453	22941.732422
1jys_protein	1jys_ligand	170.322601	69.478805	245.143250	19312.966797	19217.464844
1k1j_protein	1k1j_ligand	358.367615	56.121948	638.551636	9835.712891	9757.529297
1jlr_protein	1jlr_ligand	331.167358	55.783010	593.670654	41375.050781	41306.386719
1k1l_protein	1k1l_ligand	342.408905	57.719236	593.231873	9922.181641	9830.595703
1k1m_protein	1k1m_ligand	355.941833	55.522814	641.073120	9960.972656	9890.162109
1k1n_protein	1k1n_ligand	375.575439	51.295289	732.183105	9946.811523	9927.843750
1k1o_protein	1k1o_ligand	394.329651	58.345000	675.858521	10051.187500	9938.386719
1k6c_protein	1k6c_ligand	680.353210	77.220112	881.057007	11009.666992	10530.017578
1k6p_protein	1k6p_ligand	710.244415	76.308543	930.753479	10507.021484	10017.286133
1k6t_protein	1k6t_ligand	688.473877	77.435337	889.095215	11059.571289	10571.718750
1k6v_protein	1k6v_ligand	708.914459	75.643481	937.178528	10697.167969	10216.517578
