Receptor	Ligand	DSX_Score_pK	PCS	tors_score	sas_score	hb_scor
1b38_protein	1b38_ligand	-122.930	-0.162	0.000	0.000	0.000	
1b32_protein	1b32_ligand	-178.376	-0.213	0.000	0.000	0.000	
1b3g_protein	1b3g_ligand	-188.152	-0.225	0.000	0.000	0.000	
1b9j_protein	1b9j_ligand	-182.497	-0.221	0.000	0.000	0.000	
1b52_protein	1b52_ligand	-173.189	-0.217	0.000	0.000	0.000	
1ajp_protein	1ajp_ligand	-51.707	-0.143	0.000	0.000	0.000	
1b1h_protein	1b1h_ligand	-202.878	-0.212	0.000	0.000	0.000	
1aid_protein	1aid_ligand	-93.312	-0.212	0.000	0.000	0.000	
1b8o_protein	1b8o_ligand	-103.443	-0.184	0.000	0.000	0.000	
1bai_protein	1bai_ligand	-228.576	-0.199	0.000	0.000	0.000	
1bcu_protein	1bcu_ligand	-78.328	-0.183	0.000	0.000	0.000	
1b51_protein	1b51_ligand	-161.147	-0.209	0.000	0.000	0.000	
1b3l_protein	1b3l_ligand	-153.092	-0.215	0.000	0.000	0.000	
1b58_protein	1b58_ligand	-199.519	-0.216	0.000	0.000	0.000	
1bdq_protein	1bdq_ligand	-189.797	-0.213	0.000	0.000	0.000	
1bju_protein	1bju_ligand	-105.999	-0.194	0.000	0.000	0.000	
1b6h_protein	1b6h_ligand	-177.555	-0.221	0.000	0.000	0.000	
1b46_protein	1b46_ligand	-179.059	-0.221	0.000	0.000	0.000	
1bgq_protein	1bgq_ligand	-80.453	-0.155	0.000	0.000	0.000	
1b7h_protein	1b7h_ligand	-177.528	-0.213	0.000	0.000	0.000	
1bm7_protein	1bm7_ligand	-79.326	-0.156	0.000	0.000	0.000	
1bwa_protein	1bwa_ligand	-280.466	-0.222	0.000	0.000	0.000	
1bhx_protein	1bhx_ligand	-156.931	-0.215	0.000	0.000	0.000	
1bv7_protein	1bv7_ligand	-264.634	-0.211	0.000	0.000	0.000	
1b40_protein	1b40_ligand	-201.292	-0.214	0.000	0.000	0.000	
1bxq_protein	1bxq_ligand	-172.833	-0.186	0.000	0.000	0.000	
1bq4_protein	1bq4_ligand	4.759	0.012	0.000	0.000	0.000	
1bp0_protein	1bp0_ligand	-79.801	-0.175	0.000	0.000	0.000	
1bhf_protein	1bhf_ligand	-121.790	-0.186	0.000	0.000	0.000	
1c4u_protein	1c4u_ligand	-162.012	-0.195	0.000	0.000	0.000	
1c5n_protein	1c5n_ligand	-73.322	-0.197	0.000	0.000	0.000	
1bv9_protein	1bv9_ligand	-275.764	-0.219	0.000	0.000	0.000	
1bma_protein	1bma_ligand	-156.118	-0.183	0.000	0.000	0.000	
1bjv_protein	1bjv_ligand	-115.352	-0.194	0.000	0.000	0.000	
1bty_protein	1bty_ligand	-71.156	-0.199	0.000	0.000	0.000	
1c3x_protein	1c3x_ligand	-49.422	-0.138	0.000	0.000	0.000	
1c5p_protein	1c5p_ligand	-75.855	-0.211	0.000	0.000	0.000	
1c5o_protein	1c5o_ligand	-73.830	-0.224	0.000	0.000	0.000	
1c5q_protein	1c5q_ligand	-80.130	-0.196	0.000	0.000	0.000	
1bxo_protein	1bxo_ligand	-175.166	-0.190	0.000	0.000	0.000	
1br6_protein	1br6_ligand	-88.250	-0.151	0.000	0.000	0.000	
1c84_protein	1c84_ligand	-84.918	-0.146	0.000	0.000	0.000	
1c5t_protein	1c5t_ligand	-82.634	-0.191	0.000	0.000	0.000	
1bxr_protein	1bxr_ligand	-141.748	-0.147	0.000	0.000	0.000	
1c70_protein	1c70_ligand	-247.223	-0.221	0.000	0.000	0.000	
1c88_protein	1c88_ligand	-102.014	-0.178	0.000	0.000	0.000	
1ceb_protein	1ceb_ligand	-58.820	-0.195	0.000	0.000	0.000	
1c5s_protein	1c5s_ligand	-78.815	-0.188	0.000	0.000	0.000	
1d4i_protein	1d4i_ligand	-282.680	-0.234	0.000	0.000	0.000	
1bzy_protein	1bzy_ligand	-147.365	-0.191	0.000	0.000	0.000	
1c5x_protein	1c5x_ligand	-77.339	-0.181	0.000	0.000	0.000	
1c5c_protein	1c5c_ligand	-91.964	-0.164	0.000	0.000	0.000	
1d4h_protein	1d4h_ligand	-260.058	-0.227	0.000	0.000	0.000	
1d4k_protein	1d4k_ligand	-246.978	-0.231	0.000	0.000	0.000	
1d4j_protein	1d4j_ligand	-263.926	-0.225	0.000	0.000	0.000	
1d4l_protein	1d4l_ligand	-214.150	-0.226	0.000	0.000	0.000	
1bwb_protein	1bwb_ligand	-304.270	-0.221	0.000	0.000	0.000	
1d4y_protein	1d4y_ligand	-202.973	-0.214	0.000	0.000	0.000	
1d3d_protein	1d3d_ligand	-165.202	-0.206	0.000	0.000	0.000	
1bzj_protein	1bzj_ligand	-108.884	-0.181	0.000	0.000	0.000	
1c5y_protein	1c5y_ligand	-74.345	-0.172	0.000	0.000	0.000	
1c83_protein	1c83_ligand	-95.170	-0.166	0.000	0.000	0.000	
1d4p_protein	1d4p_ligand	-148.256	-0.213	0.000	0.000	0.000	
1c86_protein	1c86_ligand	-97.305	-0.177	0.000	0.000	0.000	
1cet_protein	1cet_ligand	-67.606	-0.191	0.000	0.000	0.000	
1dl7_protein	1dl7_ligand	-77.176	-0.147	0.000	0.000	0.000	
1d7j_protein	1d7j_ligand	-30.466	-0.170	0.000	0.000	0.000	
1d6w_protein	1d6w_ligand	-156.282	-0.180	0.000	0.000	0.000	
1d7i_protein	1d7i_ligand	-29.542	-0.168	0.000	0.000	0.000	
1dgm_protein	1dgm_ligand	-57.840	-0.139	0.000	0.000	0.000	
1dhi_protein	1dhi_ligand	-111.840	-0.177	0.000	0.000	0.000	
1dar_protein	1dar_ligand	-101.900	-0.146	0.000	0.000	0.000	
1dqn_protein	1dqn_ligand	-109.020	-0.184	0.000	0.000	0.000	
1dud_protein	1dud_ligand	-79.929	-0.158	0.000	0.000	0.000	
1d9i_protein	1d9i_ligand	-131.290	-0.181	0.000	0.000	0.000	
1dhj_protein	1dhj_ligand	-115.992	-0.177	0.000	0.000	0.000	
1c87_protein	1c87_ligand	-94.580	-0.174	0.000	0.000	0.000	
1det_protein	1det_ligand	-76.676	-0.187	0.000	0.000	0.000	
1d3p_protein	1d3p_ligand	-165.424	-0.199	0.000	0.000	0.000	
1e1v_protein	1e1v_ligand	-100.950	-0.193	0.000	0.000	0.000	
1duv_protein	1duv_ligand	-115.082	-0.189	0.000	0.000	0.000	
1df8_protein	1df8_ligand	-113.960	-0.206	0.000	0.000	0.000	
1dif_protein	1dif_ligand	-257.378	-0.220	0.000	0.000	0.000	
1e2k_protein	1e2k_ligand	-84.100	-0.156	0.000	0.000	0.000	
1e1x_protein	1e1x_ligand	-87.343	-0.192	0.000	0.000	0.000	
1ec0_protein	1ec0_ligand	-272.851	-0.216	0.000	0.000	0.000	
1drv_protein	1drv_ligand	-187.357	-0.168	0.000	0.000	0.000	
1eb2_protein	1eb2_ligand	-143.263	-0.180	0.000	0.000	0.000	
1d2e_protein	1d2e_ligand	-143.783	-0.180	0.000	0.000	0.000	
1eby_protein	1eby_ligand	-274.999	-0.228	0.000	0.000	0.000	
1e5j_protein	1e5j_ligand	-115.047	-0.175	0.000	0.000	0.000	
1e4h_protein	1e4h_ligand	-39.644	-0.196	0.000	0.000	0.000	
1ebw_protein	1ebw_ligand	-250.885	-0.235	0.000	0.000	0.000	
1ec1_protein	1ec1_ligand	-272.810	-0.226	0.000	0.000	0.000	
1ecv_protein	1ecv_ligand	-81.077	-0.163	0.000	0.000	0.000	
1ec2_protein	1ec2_ligand	-264.282	-0.223	0.000	0.000	0.000	
1ec3_protein	1ec3_ligand	-240.521	-0.209	0.000	0.000	0.000	
1ebz_protein	1ebz_ligand	-254.255	-0.226	0.000	0.000	0.000	
1ejn_protein	1ejn_ligand	-138.424	-0.196	0.000	0.000	0.000	
1e66_protein	1e66_ligand	-110.384	-0.172	0.000	0.000	0.000	
1egh_protein	1egh_ligand	-57.015	-0.154	0.000	0.000	0.000	
1elb_protein	1elb_ligand	-93.506	-0.144	0.000	0.000	0.000	
1eld_protein	1eld_ligand	-100.734	-0.127	0.000	0.000	0.000	
1ele_protein	1ele_ligand	-125.433	-0.176	0.000	0.000	0.000	
1ela_protein	1ela_ligand	-135.171	-0.192	0.000	0.000	0.000	
1e3g_protein	1e3g_ligand	-133.752	-0.232	0.000	0.000	0.000	
1f0r_protein	1f0r_ligand	-134.769	-0.187	0.000	0.000	0.000	
1e2l_protein	1e2l_ligand	-84.729	-0.158	0.000	0.000	0.000	
1f0s_protein	1f0s_ligand	-133.305	-0.190	0.000	0.000	0.000	
1ec9_protein	1ec9_ligand	-47.859	-0.093	0.000	0.000	0.000	
1elc_protein	1elc_ligand	-110.979	-0.119	0.000	0.000	0.000	
1ecq_protein	1ecq_ligand	-31.573	-0.059	0.000	0.000	0.000	
1ezq_protein	1ezq_ligand	-183.972	-0.194	0.000	0.000	0.000	
1f4g_protein	1f4g_ligand	-113.793	-0.171	0.000	0.000	0.000	
1f5k_protein	1f5k_ligand	-71.028	-0.209	0.000	0.000	0.000	
1epo_protein	1epo_ligand	-185.670	-0.190	0.000	0.000	0.000	
1efy_protein	1efy_ligand	-92.685	-0.171	0.000	0.000	0.000	
1f0u_protein	1f0u_ligand	-155.811	-0.201	0.000	0.000	0.000	
1f4f_protein	1f4f_ligand	-85.462	-0.157	0.000	0.000	0.000	
1f0t_protein	1f0t_ligand	-129.698	-0.193	0.000	0.000	0.000	
1f4e_protein	1f4e_ligand	-64.155	-0.184	0.000	0.000	0.000	
1f5l_protein	1f5l_ligand	-64.342	-0.132	0.000	0.000	0.000	
1ex8_protein	1ex8_ligand	-174.000	-0.157	0.000	0.000	0.000	
1f8b_protein	1f8b_ligand	-66.549	-0.138	0.000	0.000	0.000	
1fcx_protein	1fcx_ligand	-175.251	-0.218	0.000	0.000	0.000	
1fao_protein	1fao_ligand	-101.702	-0.191	0.000	0.000	0.000	
1fch_protein	1fch_ligand	-128.662	-0.157	0.000	0.000	0.000	
1f74_protein	1f74_ligand	-95.620	-0.194	0.000	0.000	0.000	
1f4x_protein	1f4x_ligand	-113.090	-0.220	0.000	0.000	0.000	
1ez9_protein	1ez9_ligand	-131.538	-0.180	0.000	0.000	0.000	
1fcy_protein	1fcy_ligand	-167.555	-0.205	0.000	0.000	0.000	
1e3v_protein	1e3v_ligand	-82.290	-0.213	0.000	0.000	0.000	
1fd0_protein	1fd0_ligand	-173.947	-0.213	0.000	0.000	0.000	
1f8e_protein	1f8e_ligand	-74.839	-0.159	0.000	0.000	0.000	
1f73_protein	1f73_ligand	-97.951	-0.201	0.000	0.000	0.000	
1fh9_protein	1fh9_ligand	-104.110	-0.172	0.000	0.000	0.000	
1fkg_protein	1fkg_ligand	-126.256	-0.215	0.000	0.000	0.000	
1fjs_protein	1fjs_ligand	-142.887	-0.155	0.000	0.000	0.000	
1fiv_protein	1fiv_ligand	-264.245	-0.197	0.000	0.000	0.000	
1fh8_protein	1fh8_ligand	-103.276	-0.209	0.000	0.000	0.000	
1fh7_protein	1fh7_ligand	-99.826	-0.184	0.000	0.000	0.000	
1f8d_protein	1f8d_ligand	-65.454	-0.139	0.000	0.000	0.000	
1flr_protein	1flr_ligand	-127.950	-0.174	0.000	0.000	0.000	
1fhd_protein	1fhd_ligand	-102.843	-0.171	0.000	0.000	0.000	
1f8c_protein	1f8c_ligand	-72.240	-0.155	0.000	0.000	0.000	
1fpc_protein	1fpc_ligand	-137.236	-0.196	0.000	0.000	0.000	
1fl3_protein	1fl3_ligand	-105.718	-0.158	0.000	0.000	0.000	
1fcz_protein	1fcz_ligand	-163.760	-0.209	0.000	0.000	0.000	
1fkf_protein	1fkf_ligand	-182.710	-0.221	0.000	0.000	0.000	
1fki_protein	1fki_ligand	-112.264	-0.212	0.000	0.000	0.000	
1fkb_protein	1fkb_ligand	-164.526	-0.217	0.000	0.000	0.000	
1fo0_protein	1fo0_ligand	-279.076	-0.172	0.000	0.000	0.000	
1fm9_protein	1fm9_ligand	-209.770	-0.192	0.000	0.000	0.000	
1fkh_protein	1fkh_ligand	-121.897	-0.201	0.000	0.000	0.000	
1fzq_protein	1fzq_ligand	-131.576	-0.188	0.000	0.000	0.000	
1fq5_protein	1fq5_ligand	-235.555	-0.209	0.000	0.000	0.000	
1g2k_protein	1g2k_ligand	-253.181	-0.234	0.000	0.000	0.000	
1g7f_protein	1g7f_ligand	-140.983	-0.199	0.000	0.000	0.000	
1g2l_protein	1g2l_ligand	-172.698	-0.195	0.000	0.000	0.000	
1fkn_protein	1fkn_ligand	-225.270	-0.194	0.000	0.000	0.000	
1g3d_protein	1g3d_ligand	-91.707	-0.200	0.000	0.000	0.000	
1g2o_protein	1g2o_ligand	-108.498	-0.174	0.000	0.000	0.000	
1g7g_protein	1g7g_ligand	-149.941	-0.174	0.000	0.000	0.000	
1g35_protein	1g35_ligand	-238.415	-0.222	0.000	0.000	0.000	
1g7v_protein	1g7v_ligand	-45.618	-0.085	0.000	0.000	0.000	
1g85_protein	1g85_ligand	-56.056	-0.208	0.000	0.000	0.000	
1g30_protein	1g30_ligand	-153.160	-0.188	0.000	0.000	0.000	
1g32_protein	1g32_ligand	-143.468	-0.179	0.000	0.000	0.000	
1g36_protein	1g36_ligand	-141.672	-0.205	0.000	0.000	0.000	
1gai_protein	1gai_ligand	-190.364	-0.208	0.000	0.000	0.000	
1gaf_protein	1gaf_ligand	-99.175	-0.171	0.000	0.000	0.000	
1gfy_protein	1gfy_ligand	-88.627	-0.161	0.000	0.000	0.000	
1ghz_protein	1ghz_ligand	-99.926	-0.204	0.000	0.000	0.000	
1gar_protein	1gar_ligand	-199.873	-0.189	0.000	0.000	0.000	
1ghv_protein	1ghv_ligand	-106.850	-0.208	0.000	0.000	0.000	
1gi7_protein	1gi7_ligand	-81.516	-0.168	0.000	0.000	0.000	
1g98_protein	1g98_ligand	-56.579	-0.118	0.000	0.000	0.000	
1gno_protein	1gno_ligand	-140.145	-0.165	0.000	0.000	0.000	
1gnn_protein	1gnn_ligand	-164.527	-0.180	0.000	0.000	0.000	
1g7q_protein	1g7q_ligand	-151.889	-0.155	0.000	0.000	0.000	
1gjc_protein	1gjc_ligand	-109.680	-0.175	0.000	0.000	0.000	
1g74_protein	1g74_ligand	-80.916	-0.166	0.000	0.000	0.000	
1g3e_protein	1g3e_ligand	-89.263	-0.195	0.000	0.000	0.000	
1gj6_protein	1gj6_ligand	-130.513	-0.182	0.000	0.000	0.000	
1gpn_protein	1gpn_ligand	-103.773	-0.183	0.000	0.000	0.000	
1gpk_protein	1gpk_ligand	-103.619	-0.188	0.000	0.000	0.000	
1dmp_protein	1dmp_ligand	-219.116	-0.225	0.000	0.000	0.000	
1gyy_protein	1gyy_ligand	-61.994	-0.165	0.000	0.000	0.000	
1fzk_protein	1fzk_ligand	-214.682	-0.185	0.000	0.000	0.000	
1fzj_protein	1fzj_ligand	-217.552	-0.182	0.000	0.000	0.000	
1fzo_protein	1fzo_ligand	-226.048	-0.192	0.000	0.000	0.000	
1fzm_protein	1fzm_ligand	-237.166	-0.187	0.000	0.000	0.000	
1gyx_protein	1gyx_ligand	-52.149	-0.184	0.000	0.000	0.000	
1gx8_protein	1gx8_ligand	-89.007	-0.222	0.000	0.000	0.000	
1gvx_protein	1gvx_ligand	-238.346	-0.208	0.000	0.000	0.000	
1gwv_protein	1gwv_ligand	-82.164	-0.186	0.000	0.000	0.000	
1h5v_protein	1h5v_ligand	-158.475	-0.199	0.000	0.000	0.000	
1gvw_protein	1gvw_ligand	-170.029	-0.191	0.000	0.000	0.000	
1gnm_protein	1gnm_ligand	-160.627	-0.181	0.000	0.000	0.000	
1hi4_protein	1hi4_ligand	-69.754	-0.128	0.000	0.000	0.000	
1h46_protein	1h46_ligand	-88.117	-0.167	0.000	0.000	0.000	
1hi5_protein	1hi5_ligand	-69.668	-0.157	0.000	0.000	0.000	
1h6h_protein	1h6h_ligand	-92.818	-0.188	0.000	0.000	0.000	
1hii_protein	1hii_ligand	-220.466	-0.236	0.000	0.000	0.000	
1h22_protein	1h22_ligand	-160.332	-0.185	0.000	0.000	0.000	
1hih_protein	1hih_ligand	-209.004	-0.239	0.000	0.000	0.000	
1h23_protein	1h23_ligand	-169.719	-0.190	0.000	0.000	0.000	
1hi3_protein	1hi3_ligand	-50.321	-0.150	0.000	0.000	0.000	
1h0a_protein	1h0a_ligand	-52.951	-0.135	0.000	0.000	0.000	
1h4w_protein	1h4w_ligand	-74.037	-0.200	0.000	0.000	0.000	
1hms_protein	1hms_ligand	-104.500	-0.223	0.000	0.000	0.000	
1hk4_protein	1hk4_ligand	-54.178	-0.141	0.000	0.000	0.000	
1hn4_protein	1hn4_ligand	-219.681	-0.218	0.000	0.000	0.000	
1hos_protein	1hos_ligand	-200.806	-0.205	0.000	0.000	0.000	
1hsh_protein	1hsh_ligand	-216.282	-0.223	0.000	0.000	0.000	
1hvi_protein	1hvi_ligand	-249.380	-0.230	0.000	0.000	0.000	
1hpv_protein	1hpv_ligand	-182.813	-0.218	0.000	0.000	0.000	
1hpx_protein	1hpx_ligand	-182.809	-0.205	0.000	0.000	0.000	
1hp5_protein	1hp5_ligand	-71.818	-0.144	0.000	0.000	0.000	
1hvl_protein	1hvl_ligand	-242.488	-0.222	0.000	0.000	0.000	
1hmt_protein	1hmt_ligand	-102.623	-0.218	0.000	0.000	0.000	
1h1s_protein	1h1s_ligand	-136.611	-0.197	0.000	0.000	0.000	
1hmr_protein	1hmr_ligand	-108.534	-0.231	0.000	0.000	0.000	
1hvh_protein	1hvh_ligand	-150.674	-0.171	0.000	0.000	0.000	
1hvj_protein	1hvj_ligand	-244.443	-0.233	0.000	0.000	0.000	
1hpo_protein	1hpo_ligand	-136.654	-0.183	0.000	0.000	0.000	
1hvk_protein	1hvk_ligand	-266.475	-0.231	0.000	0.000	0.000	
1i2s_protein	1i2s_ligand	-30.895	-0.094	0.000	0.000	0.000	
1hps_protein	1hps_ligand	-212.525	-0.216	0.000	0.000	0.000	
1hvr_protein	1hvr_ligand	-255.459	-0.235	0.000	0.000	0.000	
1hxb_protein	1hxb_ligand	-203.440	-0.202	0.000	0.000	0.000	
1hvs_protein	1hvs_ligand	-246.020	-0.231	0.000	0.000	0.000	
1i7z_protein	1i7z_ligand	-118.593	-0.189	0.000	0.000	0.000	
1h2t_protein	1h2t_ligand	-163.148	-0.159	0.000	0.000	0.000	
1hxw_protein	1hxw_ligand	-226.465	-0.217	0.000	0.000	0.000	
1hwr_protein	1hwr_ligand	-167.743	-0.250	0.000	0.000	0.000	
1ivp_protein	1ivp_ligand	-223.430	-0.195	0.000	0.000	0.000	
1iiq_protein	1iiq_ligand	-223.636	-0.196	0.000	0.000	0.000	
1i5r_protein	1i5r_ligand	-243.926	-0.183	0.000	0.000	0.000	
1ii5_protein	1ii5_ligand	-75.914	-0.210	0.000	0.000	0.000	
1j4r_protein	1j4r_ligand	-148.359	-0.194	0.000	0.000	0.000	
1izh_protein	1izh_ligand	-235.732	-0.198	0.000	0.000	0.000	
1iih_protein	1iih_ligand	-57.461	-0.152	0.000	0.000	0.000	
1j16_protein	1j16_ligand	-70.889	-0.194	0.000	0.000	0.000	
1ikt_protein	1ikt_ligand	-141.841	-0.229	0.000	0.000	0.000	
1j01_protein	1j01_ligand	-99.629	-0.186	0.000	0.000	0.000	
1j17_protein	1j17_ligand	-159.363	-0.191	0.000	0.000	0.000	
1ie9_protein	1ie9_ligand	-183.402	-0.238	0.000	0.000	0.000	
1jak_protein	1jak_ligand	-82.179	-0.160	0.000	0.000	0.000	
1igj_protein	1igj_ligand	-121.849	-0.204	0.000	0.000	0.000	
1izi_protein	1izi_ligand	-229.338	-0.213	0.000	0.000	0.000	
1jgl_protein	1jgl_ligand	-128.980	-0.227	0.000	0.000	0.000	
1hbv_protein	1hbv_ligand	-182.528	-0.206	0.000	0.000	0.000	
1jlr_protein	1jlr_ligand	-74.042	-0.121	0.000	0.000	0.000	
1j14_protein	1j14_ligand	-74.939	-0.201	0.000	0.000	0.000	
1jet_protein	1jet_ligand	-164.979	-0.217	0.000	0.000	0.000	
1jeu_protein	1jeu_ligand	-169.357	-0.207	0.000	0.000	0.000	
1k1m_protein	1k1m_ligand	-146.708	-0.203	0.000	0.000	0.000	
1jq8_protein	1jq8_ligand	-97.562	-0.102	0.000	0.000	0.000	
1k1i_protein	1k1i_ligand	-131.729	-0.207	0.000	0.000	0.000	
1jvu_protein	1jvu_ligand	-100.139	-0.185	0.000	0.000	0.000	
1jyq_protein	1jyq_ligand	-181.746	-0.193	0.000	0.000	0.000	
1k1l_protein	1k1l_ligand	-140.106	-0.196	0.000	0.000	0.000	
1jn4_protein	1jn4_ligand	-164.471	-0.189	0.000	0.000	0.000	
1k1o_protein	1k1o_ligand	-130.574	-0.190	0.000	0.000	0.000	
1jqy_protein	1jqy_ligand	-94.213	-0.147	0.000	0.000	0.000	
1k1j_protein	1k1j_ligand	-153.541	-0.207	0.000	0.000	0.000	
1grp_protein	1grp_ligand	-24.562	-0.080	0.000	0.000	0.000	
1ik4_protein	1ik4_ligand	-77.680	-0.188	0.000	0.000	0.000	
1jys_protein	1jys_ligand	-47.634	-0.144	0.000	0.000	0.000	
1jmf_protein	1jmf_ligand	-75.297	-0.139	0.000	0.000	0.000	
1k6c_protein	1k6c_ligand	-208.674	-0.211	0.000	0.000	0.000	
1k1y_protein	1k1y_ligand	-140.837	-0.162	0.000	0.000	0.000	
1k1n_protein	1k1n_ligand	-137.212	-0.199	0.000	0.000	0.000	
1jmg_protein	1jmg_ligand	-67.460	-0.124	0.000	0.000	0.000	
1k21_protein	1k21_ligand	-152.914	-0.212	0.000	0.000	0.000	
1k6v_protein	1k6v_ligand	-234.842	-0.225	0.000	0.000	0.000	
1kjr_protein	1kjr_ligand	-91.402	-0.162	0.000	0.000	0.000	
1k6p_protein	1k6p_ligand	-230.004	-0.220	0.000	0.000	0.000	
1k27_protein	1k27_ligand	-111.617	-0.174	0.000	0.000	0.000	
1km3_protein	1km3_ligand	-80.505	-0.168	0.000	0.000	0.000	
1kv1_protein	1kv1_ligand	-121.500	-0.228	0.000	0.000	0.000	
1ksn_protein	1ksn_ligand	-170.117	-0.185	0.000	0.000	0.000	
1k22_protein	1k22_ligand	-180.374	-0.224	0.000	0.000	0.000	
1k6t_protein	1k6t_ligand	-216.709	-0.220	0.000	0.000	0.000	
1kpm_protein	1kpm_ligand	-112.596	-0.171	0.000	0.000	0.000	
1kel_protein	1kel_ligand	-91.495	-0.161	0.000	0.000	0.000	
1kzn_protein	1kzn_ligand	-149.375	-0.193	0.000	0.000	0.000	
1kdk_protein	1kdk_ligand	-139.587	-0.245	0.000	0.000	0.000	
1kav_protein	1kav_ligand	-112.519	-0.193	0.000	0.000	0.000	
1jev_protein	1jev_ligand	-216.660	-0.208	0.000	0.000	0.000	
1kzk_protein	1kzk_ligand	-218.023	-0.214	0.000	0.000	0.000	
1koj_protein	1koj_ligand	-71.374	-0.139	0.000	0.000	0.000	
1kc7_protein	1kc7_ligand	-30.997	-0.096	0.000	0.000	0.000	
1k9s_protein	1k9s_ligand	-116.558	-0.183	0.000	0.000	0.000	
1lee_protein	1lee_ligand	-173.777	-0.202	0.000	0.000	0.000	
1lbk_protein	1lbk_ligand	-83.108	-0.180	0.000	0.000	0.000	
1l83_protein	1l83_ligand	-42.985	-0.225	0.000	0.000	0.000	
1li2_protein	1li2_ligand	-48.382	-0.213	0.000	0.000	0.000	
1lag_protein	1lag_ligand	-78.119	-0.190	0.000	0.000	0.000	
1lbf_protein	1lbf_ligand	-110.346	-0.164	0.000	0.000	0.000	
1kyv_protein	1kyv_ligand	-126.612	-0.173	0.000	0.000	0.000	
1lah_protein	1lah_ligand	-69.570	-0.199	0.000	0.000	0.000	
1li3_protein	1li3_ligand	-47.144	-0.190	0.000	0.000	0.000	
1lke_protein	1lke_ligand	-160.866	-0.232	0.000	0.000	0.000	
1lgw_protein	1lgw_ligand	-52.177	-0.212	0.000	0.000	0.000	
1l8g_protein	1l8g_ligand	-130.800	-0.171	0.000	0.000	0.000	
1kv5_protein	1kv5_ligand	-44.766	-0.131	0.000	0.000	0.000	
1lhu_protein	1lhu_ligand	-141.170	-0.243	0.000	0.000	0.000	
1lkk_protein	1lkk_ligand	-138.423	-0.192	0.000	0.000	0.000	
1lf2_protein	1lf2_ligand	-171.296	-0.205	0.000	0.000	0.000	
1laf_protein	1laf_ligand	-95.547	-0.197	0.000	0.000	0.000	
