Receptor	Ligand	DV20_Score_pK
1gx8_protein	1gx8_ligand	5.480000
1gwv_protein	1gwv_ligand	3.720000
1h0a_protein	1h0a_ligand	4.750000
1gpn_protein	1gpn_ligand	6.980000
1gpk_protein	1gpk_ligand	7.190000
1h4w_protein	1h4w_ligand	4.510000
1h1s_protein	1h1s_ligand	7.230000
1grp_protein	1grp_ligand	4.460000
1h6h_protein	1h6h_ligand	4.630000
1h5v_protein	1h5v_ligand	4.340000
1h2k_protein	1h2k_ligand	3.440000
1hbv_protein	1hbv_ligand	6.520000
1hi4_protein	1hi4_ligand	3.400000
1hi3_protein	1hi3_ligand	3.470000
1hdq_protein	1hdq_ligand	5.030000
1hee_protein	1hee_ligand	5.890000
1hfs_protein	1hfs_ligand	10.210000
1h22_protein	1h22_ligand	7.770000
1h2t_protein	1h2t_ligand	5.950000
1h46_protein	1h46_ligand	4.190000
1hi5_protein	1hi5_ligand	3.520000
1h23_protein	1h23_ligand	8.160000
1hii_protein	1hii_ligand	7.890000
1hih_protein	1hih_ligand	8.140000
1hmr_protein	1hmr_ligand	6.360000
1hms_protein	1hms_ligand	6.620000
1hlk_protein	1hlk_ligand	5.200000
1hmt_protein	1hmt_ligand	6.420000
1hos_protein	1hos_ligand	8.010000
1hk4_protein	1hk4_ligand	4.380000
1hn4_protein	1hn4_ligand	5.520000
1hpo_protein	1hpo_ligand	8.200000
1hpv_protein	1hpv_ligand	8.490000
1hps_protein	1hps_ligand	8.280000
1hpx_protein	1hpx_ligand	9.280000
1hsh_protein	1hsh_ligand	8.790000
1hp5_protein	1hp5_ligand	4.650000
1hvh_protein	1hvh_ligand	6.390000
1hvi_protein	1hvi_ligand	9.450000
1hsl_protein	1hsl_ligand	4.770000
1hvj_protein	1hvj_ligand	9.540000
1hvk_protein	1hvk_ligand	9.600000
1hvl_protein	1hvl_ligand	9.250000
1hvr_protein	1hvr_ligand	10.140000
1hvs_protein	1hvs_ligand	9.210000
1hwr_protein	1hwr_ligand	7.920000
1hxb_protein	1hxb_ligand	8.890000
1hxw_protein	1hxw_ligand	8.900000
1i2s_protein	1i2s_ligand	3.400000
1i9p_protein	1i9p_ligand	6.700000
1i9n_protein	1i9n_ligand	5.030000
1i37_protein	1i37_ligand	8.890000
1i5r_protein	1i5r_ligand	9.180000
1i7z_protein	1i7z_ligand	6.690000
1ie9_protein	1ie9_ligand	9.460000
1if7_protein	1if7_ligand	5.990000
1if8_protein	1if8_ligand	5.040000
1hyo_protein	1hyo_ligand	4.710000
1iiq_protein	1iiq_ligand	7.680000
1ii5_protein	1ii5_ligand	4.960000
1igb_protein	1igb_ligand	5.960000
1iih_protein	1iih_ligand	3.610000
1ikt_protein	1ikt_ligand	4.810000
1ivp_protein	1ivp_ligand	6.770000
1izh_protein	1izh_ligand	7.760000
1izi_protein	1izi_ligand	7.920000
1j4r_protein	1j4r_ligand	6.310000
1iy7_protein	1iy7_ligand	5.820000
1j14_protein	1j14_ligand	4.610000
1j01_protein	1j01_ligand	5.710000
1igj_protein	1igj_ligand	6.740000
1j16_protein	1j16_ligand	4.360000
1j17_protein	1j17_ligand	6.810000
1i1e_protein	1i1e_ligand	2.500000
1jao_protein	1jao_ligand	5.770000
1ik4_protein	1ik4_ligand	6.140000
1jaq_protein	1jaq_ligand	5.360000
1jak_protein	1jak_ligand	6.060000
1j36_protein	1j36_ligand	5.890000
1j37_protein	1j37_ligand	4.340000
1jn4_protein	1jn4_ligand	5.610000
1jq8_protein	1jq8_ligand	4.270000
1jgl_protein	1jgl_ligand	9.160000
1jeu_protein	1jeu_ligand	6.150000
1jet_protein	1jet_ligand	6.620000
1jev_protein	1jev_ligand	7.060000
1jvu_protein	1jvu_ligand	4.440000
1jmf_protein	1jmf_ligand	4.410000
1jsv_protein	1jsv_ligand	4.590000
1jmg_protein	1jmg_ligand	4.420000
1jqy_protein	1jqy_ligand	4.940000
1jyq_protein	1jyq_ligand	6.120000
1jcx_protein	1jcx_ligand	4.490000
1k1j_protein	1k1j_ligand	7.220000
1k1i_protein	1k1i_ligand	6.470000
1jlr_protein	1jlr_ligand	3.980000
1k1l_protein	1k1l_ligand	6.530000
1k1m_protein	1k1m_ligand	7.430000
1jys_protein	1jys_ligand	3.360000
1k1n_protein	1k1n_ligand	5.960000
1k1o_protein	1k1o_ligand	6.030000
1k6c_protein	1k6c_ligand	7.480000
1k4g_protein	1k4g_ligand	5.510000
1k6p_protein	1k6p_ligand	7.790000
1k6t_protein	1k6t_ligand	7.510000
1k4h_protein	1k4h_ligand	5.470000
1k6v_protein	1k6v_ligand	7.730000
1jzs_protein	1jzs_ligand	6.400000
1k1y_protein	1k1y_ligand	4.830000
1k21_protein	1k21_ligand	7.530000
1k22_protein	1k22_ligand	7.870000
1kav_protein	1kav_ligand	6.330000
1kdk_protein	1kdk_ligand	8.960000
1kjr_protein	1kjr_ligand	5.700000
1kel_protein	1kel_ligand	6.030000
1kpm_protein	1kpm_ligand	6.090000
1kug_protein	1kug_ligand	5.720000
1ksn_protein	1ksn_ligand	8.830000
1k27_protein	1k27_ligand	7.630000
1km3_protein	1km3_ligand	4.810000
1kui_protein	1kui_ligand	6.290000
1kuk_protein	1kuk_ligand	5.830000
1kv1_protein	1kv1_ligand	7.090000
1kzk_protein	1kzk_ligand	9.630000
1kzn_protein	1kzn_ligand	6.970000
1kv5_protein	1kv5_ligand	3.210000
1l8g_protein	1l8g_ligand	6.220000
1k9s_protein	1k9s_ligand	6.050000
1l83_protein	1l83_ligand	3.310000
1lag_protein	1lag_ligand	5.410000
1lah_protein	1lah_ligand	6.270000
1laf_protein	1laf_ligand	6.910000
1kyv_protein	1kyv_ligand	6.770000
1lbf_protein	1lbf_ligand	6.530000
1koj_protein	1koj_ligand	5.090000
1lbk_protein	1lbk_ligand	4.080000
1lgw_protein	1lgw_ligand	4.250000
1kc7_protein	1kc7_ligand	3.840000
1lee_protein	1lee_ligand	7.580000
1lf2_protein	1lf2_ligand	7.440000
1li3_protein	1li3_ligand	4.210000
1li6_protein	1li6_ligand	2.480000
1li2_protein	1li2_ligand	4.130000
1lhu_protein	1lhu_ligand	8.990000
1lkk_protein	1lkk_ligand	6.190000
1lkl_protein	1lkl_ligand	5.630000
1lke_protein	1lke_ligand	8.780000
1lnm_protein	1lnm_ligand	9.100000
1lpg_protein	1lpg_ligand	6.720000
1lpk_protein	1lpk_ligand	7.370000
1lpz_protein	1lpz_ligand	7.710000
1loq_protein	1loq_ligand	5.160000
1lst_protein	1lst_ligand	6.460000
1m0b_protein	1m0b_ligand	7.690000
1lzq_protein	1lzq_ligand	7.790000
1lyb_protein	1lyb_ligand	8.180000
1kmy_protein	1kmy_ligand	5.270000
1lyx_protein	1lyx_ligand	3.770000
1lrh_protein	1lrh_ligand	5.270000
1m2x_protein	1m2x_ligand	3.620000
1m2p_protein	1m2p_ligand	7.150000
1m2q_protein	1m2q_ligand	7.010000
1m2r_protein	1m2r_ligand	6.810000
1m4h_protein	1m4h_ligand	7.810000
1m7d_protein	1m7d_ligand	6.070000
1m7i_protein	1m7i_ligand	5.670000
1m48_protein	1m48_ligand	5.390000
1mai_protein	1mai_ligand	5.610000
1m1b_protein	1m1b_ligand	4.630000
1lgt_protein	1lgt_ligand	6.210000
1mes_protein	1mes_ligand	8.770000
1lvu_protein	1lvu_ligand	5.170000
1met_protein	1met_ligand	9.100000
1m83_protein	1m83_ligand	5.500000
1mfa_protein	1mfa_ligand	4.900000
1m0n_protein	1m0n_ligand	4.690000
1m7y_protein	1m7y_ligand	7.740000
1m0o_protein	1m0o_ligand	4.970000
1mfd_protein	1mfd_ligand	5.120000
1m0q_protein	1m0q_ligand	5.630000
1lan_protein	1lan_ligand	5.470000
1mfi_protein	1mfi_ligand	4.800000
1mmq_protein	1mmq_ligand	6.940000
1mmr_protein	1mmr_ligand	6.290000
1lcp_protein	1lcp_ligand	3.630000
1mh5_protein	1mh5_ligand	7.020000
1mjj_protein	1mjj_ligand	7.200000
1mq6_protein	1mq6_ligand	7.920000
1mq5_protein	1mq5_ligand	8.110000
1mrw_protein	1mrw_ligand	8.730000
1mrx_protein	1mrx_ligand	8.370000
1msm_protein	1msm_ligand	9.500000
1m5w_protein	1m5w_ligand	2.880000
1msn_protein	1msn_ligand	9.470000
1mtr_protein	1mtr_ligand	8.200000
1mrs_protein	1mrs_ligand	5.330000
1mrn_protein	1mrn_ligand	5.670000
1moq_protein	1moq_ligand	4.610000
1mu6_protein	1mu6_ligand	7.820000
1mu8_protein	1mu8_ligand	8.260000
1mue_protein	1mue_ligand	7.640000
1n0s_protein	1n0s_ligand	6.830000
1my4_protein	1my4_ligand	6.700000
1n4h_protein	1n4h_ligand	6.610000
1n4k_protein	1n4k_ligand	6.300000
1ndv_protein	1ndv_ligand	5.480000
1nc1_protein	1nc1_ligand	6.080000
1nc3_protein	1nc3_ligand	6.420000
1ndw_protein	1ndw_ligand	5.850000
1n46_protein	1n46_ligand	10.080000
1ndy_protein	1ndy_ligand	6.090000
1n3i_protein	1n3i_ligand	7.040000
1ndz_protein	1ndz_ligand	6.080000
1nfu_protein	1nfu_ligand	7.130000
1nf8_protein	1nf8_ligand	7.360000
1nfw_protein	1nfw_ligand	7.990000
1nfx_protein	1nfx_ligand	8.190000
1nfy_protein	1nfy_ligand	7.790000
1nh0_protein	1nh0_ligand	9.070000
1n5r_protein	1n5r_ligand	4.750000
1nhz_protein	1nhz_ligand	7.210000
1njs_protein	1njs_ligand	7.430000
1nki_protein	1nki_ligand	5.340000
1nl9_protein	1nl9_ligand	6.430000
1nli_protein	1nli_ligand	3.250000
1nhu_protein	1nhu_ligand	4.900000
1n1m_protein	1n1m_ligand	4.940000
1njc_protein	1njc_ligand	5.500000
1nja_protein	1nja_ligand	6.050000
1njd_protein	1njd_ligand	5.900000
1nje_protein	1nje_ligand	5.510000
1nm6_protein	1nm6_ligand	9.840000
1nny_protein	1nny_ligand	7.860000
1no6_protein	1no6_ligand	5.300000
1nq7_protein	1nq7_ligand	7.400000
1nt1_protein	1nt1_ligand	10.080000
1n51_protein	1n51_ligand	6.580000
1nvq_protein	1nvq_ligand	9.340000
1nvr_protein	1nvr_ligand	8.940000
1nvs_protein	1nvs_ligand	7.890000
1nw5_protein	1nw5_ligand	4.810000
1o0f_protein	1o0f_ligand	4.900000
1o0h_protein	1o0h_ligand	5.120000
1o0m_protein	1o0m_ligand	4.620000
1nw7_protein	1nw7_ligand	4.940000
1nwl_protein	1nwl_ligand	2.380000
1o0n_protein	1o0n_ligand	4.330000
1nz7_protein	1nz7_ligand	6.710000
1np0_protein	1np0_ligand	3.820000
1o2h_protein	1o2h_ligand	6.710000
1o2j_protein	1o2j_ligand	5.780000
1o2n_protein	1o2n_ligand	6.540000
1o2o_protein	1o2o_ligand	5.640000
1o2q_protein	1o2q_ligand	6.900000
1o2r_protein	1o2r_ligand	6.710000
1o2w_protein	1o2w_ligand	5.020000
1o2z_protein	1o2z_ligand	5.770000
1o3f_protein	1o3f_ligand	6.250000
1o3d_protein	1o3d_ligand	7.090000
1o3i_protein	1o3i_ligand	6.540000
1o3j_protein	1o3j_ligand	5.930000
1o1s_protein	1o1s_ligand	5.500000
1o3l_protein	1o3l_ligand	5.890000
1o5a_protein	1o5a_ligand	5.100000
1o5c_protein	1o5c_ligand	5.250000
1o5g_protein	1o5g_ligand	6.550000
1nw4_protein	1nw4_ligand	6.700000
1o5e_protein	1o5e_ligand	6.880000
1o5r_protein	1o5r_ligand	6.630000
1o7o_protein	1o7o_ligand	5.840000
1o30_protein	1o30_ligand	6.270000
1o33_protein	1o33_ligand	5.820000
1o35_protein	1o35_ligand	5.330000
1o36_protein	1o36_ligand	4.490000
1o38_protein	1o38_ligand	6.630000
1oar_protein	1oar_ligand	6.810000
1oau_protein	1oau_ligand	6.090000
1oba_protein	1oba_ligand	1.980000
1ocq_protein	1ocq_ligand	5.600000
1od8_protein	1od8_ligand	5.620000
1o86_protein	1o86_ligand	7.440000
1ogx_protein	1ogx_ligand	5.920000
1ohr_protein	1ohr_ligand	8.410000
1ogz_protein	1ogz_ligand	6.080000
1oe8_protein	1oe8_ligand	4.750000
1okl_protein	1okl_ligand	5.400000
1oif_protein	1oif_ligand	6.350000
1ony_protein	1ony_ligand	6.430000
1om1_protein	1om1_ligand	7.180000
1onz_protein	1onz_ligand	5.520000
1oss_protein	1oss_ligand	4.170000
1os0_protein	1os0_ligand	7.040000
1ogg_protein	1ogg_ligand	6.720000
1owe_protein	1owe_ligand	6.110000
1ork_protein	1ork_ligand	7.250000
1owh_protein	1owh_ligand	6.400000
1os5_protein	1os5_ligand	6.530000
1oxr_protein	1oxr_ligand	3.180000
1ogd_protein	1ogd_ligand	3.640000
1odi_protein	1odi_ligand	5.220000
1oyq_protein	1oyq_ligand	6.310000
1odj_protein	1odj_ligand	5.710000
1oyt_protein	1oyt_ligand	7.980000
1olu_protein	1olu_ligand	6.380000
1ols_protein	1ols_ligand	6.070000
1olx_protein	1olx_ligand	6.010000
1p1o_protein	1p1o_ligand	5.990000
1p1n_protein	1p1n_ligand	6.380000
1p19_protein	1p19_ligand	2.640000
1pa9_protein	1pa9_ligand	4.930000
1p1q_protein	1p1q_ligand	4.140000
1pb9_protein	1pb9_ligand	5.130000
1pb8_protein	1pb8_ligand	4.740000
1p57_protein	1p57_ligand	4.940000
1pbq_protein	1pbq_ligand	6.510000
1pfu_protein	1pfu_ligand	2.410000
1pph_protein	1pph_ligand	6.310000
1ppc_protein	1ppc_ligand	6.900000
1pme_protein	1pme_ligand	6.580000
1pdz_protein	1pdz_ligand	3.870000
1pot_protein	1pot_ligand	5.680000
1oz0_protein	1oz0_ligand	6.150000
1ppk_protein	1ppk_ligand	7.280000
1ppl_protein	1ppl_ligand	7.720000
1ppm_protein	1ppm_ligand	7.530000
1pgp_protein	1pgp_ligand	4.560000
1ppi_protein	1ppi_ligand	5.680000
1pro_protein	1pro_ligand	9.660000
1phw_protein	1phw_ligand	0.460000
1pkx_protein	1pkx_ligand	7.230000
1pxn_protein	1pxn_ligand	7.130000
1pxo_protein	1pxo_ligand	6.040000
1pxp_protein	1pxp_ligand	6.850000
1pyn_protein	1pyn_ligand	6.510000
1pzp_protein	1pzp_ligand	4.640000
1q7a_protein	1q7a_ligand	4.320000
1pz5_protein	1pz5_ligand	5.470000
1pzi_protein	1pzi_ligand	4.270000
1pr5_protein	1pr5_ligand	5.580000
1ps3_protein	1ps3_ligand	5.730000
1q8t_protein	1q8t_ligand	5.130000
1q5k_protein	1q5k_ligand	5.980000
1q8u_protein	1q8u_ligand	6.700000
1q54_protein	1q54_ligand	3.710000
1q8w_protein	1q8w_ligand	5.950000
1q91_protein	1q91_ligand	7.210000
1q65_protein	1q65_ligand	5.420000
1qan_protein	1qan_ligand	5.210000
1q72_protein	1q72_ligand	5.740000
1pvn_protein	1pvn_ligand	6.680000
1qb1_protein	1qb1_ligand	5.220000
1qb6_protein	1qb6_ligand	6.310000
