,ligand,pK(ref),pK($Δ_{Vina}RF_{20}$),pK($AutoDock 4.2$),pK($∆SAS$),pK($DrugScoreX$),pK($AutoDock Vina$),pK($X-Score$),pK($NNScore 2.0$),pK($AutoDock VinaXB$)
23,1ax0_ligand,3.13,3.62,2.104,208.854645,-76.915,3.778842,5.01,3.5,3.778842
24,1ajp_ligand,2.23,3.56,2.5938,211.571503,-51.707,3.577185,5.05,4.081,3.577185
25,1ajq_ligand,4.31,3.71,3.8624,188.346542,-59.554,3.569758,4.92,3.859,3.569758
26,1b0h_ligand,6.7,7.23,12.09,595.022156,-225.226,6.967588,7.98,8.047,6.967588
27,1b1h_ligand,7.03,6.93,10.5843,568.693634,-202.878,6.308805,7.34,6.437,6.308805
28,1b2h_ligand,4.54,5.75,9.7397,534.240448,-178.283,5.81846,6.6,6.361,5.81846
29,1a69_ligand,5.3,5.23,2.8872,290.607391,-99.149,5.327969,5.65,4.958,5.327969
30,1ado_ligand,6.0,4.17,2.4535,151.067429,-24.86,2.746716,4.22,3.22,2.746716
31,1b3g_ligand,6.7,6.56,9.6336,517.877289,-188.152,5.577918,6.9,6.735,5.577918
32,1b3f_ligand,6.89,6.34,9.3375,539.526306,-189.131,5.572163,6.7,6.553,5.572163
33,1b3h_ligand,6.21,6.68,10.3165,576.114319,-200.94,6.075337,7.36,7.026,6.075337
34,1b3l_ligand,5.89,6.07,8.4158,443.88208,-153.092,4.970711,6.06,5.919,4.970711
35,1b6k_ligand,8.74,8.44,9.7954,655.315094,-221.681,7.836063,8.82,7.811,7.836063
36,1b6j_ligand,7.92,8.65,9.8048,655.287537,-220.794,8.204787,8.59,7.472,8.204787
37,1b4z_ligand,5.23,5.81,8.4498,501.705963,-167.4,5.711158,6.56,6.072,5.711158
38,1b4h_ligand,5.46,5.71,8.3483,507.289032,-157.439,5.076188,6.5,6.611,5.076188
39,1b5h_ligand,6.01,5.78,8.5556,485.685089,-167.113,5.032148,6.31,6.533,5.032148
40,1b6l_ligand,8.3,8.45,7.9357,562.04483,-190.894,8.221364,7.94,7.716,8.221364
41,1b5i_ligand,7.05,6.67,8.4492,509.69342,-167.919,5.535154,6.44,6.243,5.535154
42,1b5j_ligand,7.43,6.92,9.8469,530.835114,-179.52,5.911034,6.68,6.048,5.911034
43,1b05_ligand,7.12,6.36,8.7479,489.605835,-165.565,4.867412,6.48,5.922,4.867412
44,1b8n_ligand,10.5,6.98,4.9724,302.584137,-114.759,6.337595,5.96,6.343,6.337595
45,1b8o_ligand,10.6,6.99,4.2996,290.219559,-103.443,6.182119,5.73,6.03,6.182119
46,1b6h_ligand,7.82,6.94,9.4534,514.021576,-177.555,5.489685,6.78,6.897,5.489685
47,1b38_ligand,6.6,4.99,4.6669,404.755493,-122.93,5.616576,6.18,4.54,5.616576
48,1bdq_ligand,6.34,7.94,6.7746,600.772583,-189.797,6.749333,8.2,7.817,6.749333
49,1b7h_ligand,8.02,6.54,9.5518,543.957153,-177.528,5.425836,6.96,6.912,5.425836
50,1bcu_ligand,3.28,4.95,3.4746,225.255859,-78.328,4.816122,5.33,3.277,4.816122
51,1bhf_ligand,4.38,4.98,4.9198,423.688599,-121.79,4.299047,5.78,7.597,4.299047
52,1b9j_ligand,5.96,6.7,9.741,521.632904,-182.497,5.762793,7.05,7.248,5.762793
53,1bai_ligand,7.7,7.28,5.7128,774.508667,-228.576,5.005557,8.14,7.317,5.005557
54,1b32_ligand,7.1,6.49,9.4672,536.010864,-178.376,5.485828,6.7,7.251,5.485828
55,1b51_ligand,7.37,6.53,8.259,475.583496,-161.147,5.259223,6.26,6.49,5.259223
56,1b46_ligand,5.28,6.48,9.8226,484.157898,-179.059,6.098585,6.76,6.151,6.098585
57,1b40_ligand,7.28,6.93,10.4862,553.247528,-201.292,6.383644,7.44,6.879,6.383644
58,1b52_ligand,7.12,6.71,8.7732,496.339478,-173.189,5.444934,6.55,6.906,5.444934
59,1b58_ligand,6.59,7.02,10.1889,559.143555,-199.519,6.530711,7.36,6.919,6.530711
60,1bju_ligand,4.8,5.96,5.0393,276.460724,-105.999,5.669443,6.03,5.83,5.669443
61,1bjv_ligand,5.54,5.82,4.7677,295.634155,-115.352,5.310799,6.09,5.72,5.310799
62,1bhx_ligand,6.84,7.34,6.9549,436.106995,-156.931,6.370924,6.66,6.78,6.370924
63,1bma_ligand,4.59,5.83,5.7467,427.328705,-156.118,4.872221,7.07,5.625,4.872221
64,1bgq_ligand,8.57,7.09,4.636,326.42128,-80.453,5.799201,6.21,7.638,5.799201
65,1bty_ligand,4.74,4.18,3.7504,185.618721,-71.156,3.652155,5.05,4.102,3.652155
66,1br6_ligand,3.22,6.45,5.547,265.740387,-88.25,5.811393,6.05,6.122,5.811393
67,1bm7_ligand,7.52,6.69,4.1631,322.640472,-79.326,4.833402,6.22,6.839,4.833402
68,1bv9_ligand,9.96,9.86,12.0055,665.920837,-275.764,9.655337,9.98,9.127,9.655337
69,1bv7_ligand,10.3,10.35,11.6405,659.106537,-264.634,9.975007,9.98,9.129,9.975007
70,1bwa_ligand,8.6,9.67,11.5117,642.348755,-280.466,9.592815,9.76,8.064,9.592815
71,1bwb_ligand,8.42,10.04,13.0829,716.351013,-304.27,9.973431,10.34,8.192,9.973431
72,1bxo_ligand,10.0,8.61,6.3466,560.90744,-175.166,7.973519,8.28,7.783,7.973519
73,1bxq_ligand,7.38,7.53,4.243,557.153473,-172.833,5.794817,7.83,7.705,5.794817
74,1bzj_ligand,4.66,6.72,5.7081,250.465012,-108.884,6.076415,6.54,8.761,6.076415
75,1bp0_ligand,5.4,5.66,5.5198,259.674149,-79.801,5.077757,5.32,4.495,5.077757
76,1c4u_ligand,10.4,7.53,7.2712,450.947083,-162.012,5.705044,6.85,10.176,5.705044
77,1c5p_ligand,4.68,4.46,3.6201,177.264305,-75.855,3.855469,5.07,4.574,3.855469
78,1c5q_ligand,6.36,5.78,4.9707,220.537323,-80.13,4.692933,5.48,5.725,4.692933
79,1c5s_ligand,6.0,5.57,4.6545,201.781555,-78.815,4.525938,5.22,5.08,4.525938
80,1c5n_ligand,4.7,4.51,4.4141,220.528931,-73.322,3.650828,5.33,5.035,3.650828
81,1c5o_ligand,3.49,3.49,3.3312,177.082321,-73.83,3.390982,4.9,3.723,3.390982
82,1c5t_ligand,4.1,5.06,4.2238,199.957596,-82.634,4.5211,5.18,5.159,4.5211
83,1c5x_ligand,6.68,5.7,5.4688,234.472107,-77.339,4.483028,5.57,5.981,4.483028
84,1c5c_ligand,6.96,6.55,7.8915,298.959152,-91.964,6.239699,6.45,7.499,6.239699
85,1c5y_ligand,4.2,4.91,4.5284,207.341461,-74.345,4.535359,5.23,4.846,4.535359
86,1c70_ligand,10.3,9.53,9.371,700.681885,-247.223,8.3561,9.15,9.581,8.3561
87,1bq4_ligand,5.22,5.02,6.2866,266.02771,4.759,3.769054,5.02,4.749,3.769054
88,1ceb_ligand,6.0,4.82,4.8688,191.494003,-58.82,3.151327,5.12,4.918,3.151327
89,1c3x_ligand,3.68,3.25,2.4316,200.067963,-49.422,2.717669,5.08,6.703,2.717669
90,1c83_ligand,4.85,5.68,6.6032,228.115402,-95.17,5.450733,5.91,4.731,5.450733
91,1c84_ligand,5.0,5.5,5.7523,247.718216,-84.918,5.473152,6.43,5.051,5.473152
92,1c86_ligand,4.7,5.17,7.6021,250.163681,-97.305,4.670894,5.89,4.142,4.670894
93,1bzy_ligand,8.34,7.27,8.0183,341.311661,-147.365,6.788109,6.73,6.097,6.788109
94,1c88_ligand,5.29,5.44,7.9288,247.450317,-102.014,5.004113,6.05,4.538,5.004113
95,1c87_ligand,4.2,4.77,6.615,230.065338,-94.58,4.289626,5.83,4.095,4.289626
96,1d4h_ligand,10.0,8.9,8.7644,666.955414,-260.058,8.509677,9.13,8.681,8.509677
97,1d4i_ligand,8.85,9.17,9.0727,679.221527,-282.68,8.970059,9.4,8.77,8.970059
98,1d4j_ligand,8.36,8.66,8.225,676.995789,-263.926,8.432815,8.97,8.856,8.432815
99,1d3d_ligand,9.09,7.51,6.6919,500.182037,-165.202,6.559831,7.29,8.044,6.559831
100,1d3p_ligand,7.39,7.03,6.0661,511.345123,-165.424,6.377881,7.06,7.167,6.377881
101,1d4k_ligand,9.22,9.06,9.3709,692.372467,-246.978,7.993204,9.04,7.39,7.993204
102,1d7j_ligand,3.3,2.24,1.7332,139.393883,-30.466,2.053614,4.27,1.31,2.053614
103,1d7i_ligand,3.6,2.39,2.3163,154.965424,-29.542,1.151723,4.12,2.486,1.151723
104,1d4l_ligand,8.77,8.59,8.0887,604.077148,-214.15,7.595469,8.31,9.528,7.595469
105,1det_ligand,4.3,4.07,3.2468,192.85524,-76.676,3.57989,4.82,5.055,3.57989
106,1d4y_ligand,11.1,8.47,8.2273,589.134552,-202.973,7.293688,8.2,10.572,7.293688
107,1d4p_ligand,6.3,7.68,6.6984,401.566223,-148.256,7.365462,6.95,6.594,7.365462
108,1d6w_ligand,5.96,5.76,6.7353,468.744232,-156.282,4.866591,6.84,7.676,4.866591
109,1d9i_ligand,9.11,6.1,5.3469,442.69101,-131.29,4.112243,6.42,7.289,4.112243
110,1dif_ligand,10.7,10.14,8.0317,731.752594,-257.378,7.977771,9.39,9.796,7.977771
111,1dl7_ligand,6.49,3.35,3.3974,305.087967,-77.176,2.049897,5.01,7.876,2.049897
112,1dmp_ligand,9.55,9.47,8.1778,540.052612,-219.116,8.665609,8.64,9.178,8.665609
113,1dhi_ligand,7.26,6.05,5.3243,383.806702,-111.84,5.432177,6.1,6.635,5.432177
114,1dgm_ligand,5.05,4.28,1.7647,245.361267,-57.84,3.492603,4.83,2.246,3.492603
115,1dhj_ligand,6.55,6.5,5.8833,391.964172,-115.992,5.86096,6.19,7.363,5.86096
116,1df8_ligand,9.7,6.79,6.2348,288.333374,-113.96,5.831877,6.01,10.441,5.831877
117,1dar_ligand,4.96,4.38,4.9465,290.779114,-101.9,3.995271,5.57,4.787,3.995271
118,1dud_ligand,4.82,4.97,4.1973,283.433228,-79.929,4.953365,5.21,5.209,4.953365
119,1e1v_ligand,4.92,4.81,1.6652,302.840622,-100.95,3.970572,5.61,2.112,3.970572
120,1dqn_ligand,8.0,6.01,6.0939,312.911179,-109.02,5.740674,5.86,5.089,5.740674
121,1e1x_ligand,5.89,5.25,4.0692,302.116669,-87.343,4.141708,5.58,5.031,4.141708
122,1e3g_ligand,9.0,8.92,8.058,344.892899,-133.752,8.154787,7.44,8.638,8.154787
123,1cet_ligand,2.89,3.77,2.6655,242.893188,-67.606,3.307918,5.39,3.226,3.307918
124,1e3v_ligand,4.34,4.69,1.5635,325.755768,-82.29,4.420975,6.48,4.685,4.420975
125,1e5j_ligand,4.0,4.09,1.2193,422.616699,-115.047,4.672647,5.68,3.004,4.672647
126,1eb2_ligand,6.01,6.0,6.2814,392.711914,-143.263,5.225865,7.16,6.779,5.225865
127,1ebw_ligand,9.05,8.6,7.9625,668.803467,-250.885,6.932317,8.6,8.901,6.932317
128,1eby_ligand,9.7,8.78,8.7206,685.341614,-274.999,8.599751,9.39,8.735,8.599751
129,1e4h_ligand,8.41,6.89,3.835,264.585266,-39.644,4.200806,5.57,3.709,4.200806
130,1ebz_ligand,9.4,8.59,8.5253,663.588928,-254.255,7.616349,8.98,9.342,7.616349
131,1ec0_ligand,8.49,9.06,9.0911,683.898651,-272.851,9.05346,9.46,8.666,9.05346
132,1e2l_ligand,4.29,5.4,4.8766,310.900269,-84.729,5.267471,6.07,6.203,5.267471
133,1ec1_ligand,8.92,8.18,8.8272,721.361481,-272.81,7.198614,9.29,9.225,7.198614
134,1e2k_ligand,4.94,5.43,4.9894,308.952286,-84.1,5.388072,6.03,6.466,5.388072
135,1ec2_ligand,10.0,8.54,8.6105,734.993866,-264.282,7.379523,9.4,8.312,7.379523
136,1d2e_ligand,6.0,5.97,6.3538,316.045654,-143.783,6.212625,6.2,5.126,6.212625
137,1ec3_ligand,9.04,7.84,7.7729,724.158966,-240.521,6.374399,8.83,9.132,6.374399
138,1drv_ligand,6.54,4.99,5.2351,527.016571,-187.357,5.074758,7.01,6.677,5.074758
139,1duv_ligand,11.8,7.62,9.2026,293.097031,-115.082,6.106642,6.21,7.387,6.106642
140,1ejn_ligand,5.62,6.65,8.2419,360.516144,-138.424,6.359186,6.64,6.22,6.359186
141,1ela_ligand,6.36,6.22,4.6876,367.79483,-135.171,5.073622,6.52,5.294,5.073622
142,1elb_ligand,7.15,4.38,2.8411,349.311218,-93.506,3.47217,6.12,6.422,3.47217
143,1ecv_ligand,4.85,5.38,6.702,229.325439,-81.077,5.322405,6.17,4.48,5.322405
144,1elc_ligand,6.66,4.55,5.2453,442.704559,-110.979,2.144018,6.68,5.198,2.144018
145,1efy_ligand,8.22,6.62,5.3373,280.522537,-92.685,5.925301,5.91,7.724,5.925301
146,1ele_ligand,6.85,6.32,4.5944,354.134094,-125.433,5.089311,6.4,7.679,5.089311
147,1ex8_ligand,6.33,6.27,9.835,571.807007,-174.0,7.566569,7.48,5.192,7.566569
148,1epo_ligand,7.96,7.64,7.2158,578.970581,-185.67,6.662925,7.8,7.62,6.662925
149,1f0u_ligand,7.16,7.26,6.9458,392.89325,-155.811,5.940088,7.04,6.626,5.940088
150,1f0t_ligand,6.0,6.17,5.6448,346.098999,-129.698,5.066386,6.06,5.841,5.066386
151,1ezq_ligand,9.05,8.28,8.2586,472.301331,-183.972,6.742639,7.96,8.887,6.742639
152,1e66_ligand,9.89,8.8,7.4856,359.684174,-110.384,8.57294,7.16,10.612,8.57294
153,1f0r_ligand,7.66,7.26,5.2469,390.091949,-134.769,6.286232,6.43,7.719,6.286232
154,1f0s_ligand,7.74,6.8,6.0847,374.97879,-133.305,5.584655,6.11,7.609,5.584655
155,1egh_ligand,5.7,4.76,3.3004,157.050095,-57.015,3.401532,4.82,4.37,3.401532
156,1f5k_ligand,3.74,4.08,3.6331,178.110741,-71.028,3.706048,5.02,3.669,3.706048
157,1f4x_ligand,5.59,5.06,2.9077,258.332855,-113.09,4.075374,5.16,4.53,4.075374
158,1f4e_ligand,2.96,4.97,2.8602,272.591293,-64.155,4.645872,5.53,3.015,4.645872
159,1f5l_ligand,5.28,4.9,4.4024,231.088608,-64.342,4.826745,5.41,5.353,4.826745
160,1fao_ligand,7.37,6.35,11.0825,266.556244,-101.702,4.67945,5.28,7.101,4.67945
161,1f4f_ligand,4.62,5.37,2.8819,361.39093,-85.462,5.085843,5.77,4.931,5.085843
162,1f4g_ligand,6.48,6.43,3.9548,449.391357,-113.793,5.958021,6.34,7.223,5.958021
163,1fcx_ligand,7.19,10.26,10.0566,462.136139,-175.251,11.067067,9.3,8.183,11.067067
164,1fcy_ligand,8.52,10.11,10.6912,458.012268,-167.555,11.288277,9.48,8.586,11.288277
165,1fcz_ligand,9.22,9.3,10.3748,449.447906,-163.76,10.360147,9.09,8.689,10.360147
166,1fch_ligand,7.15,6.73,5.3185,551.878235,-128.662,4.936496,6.59,7.101,4.936496
167,1fd0_ligand,8.4,10.6,8.8318,470.194305,-173.947,11.289465,9.52,8.488,11.289465
168,1fh7_ligand,5.24,5.49,4.6988,249.70079,-99.826,4.572676,5.61,6.006,4.572676
169,1fh8_ligand,6.89,6.05,4.7965,243.052307,-103.276,5.064018,5.56,4.855,5.064018
170,1fkb_ligand,9.7,8.49,6.9333,444.190399,-164.526,7.720235,8.11,7.299,7.720235
171,1fkg_ligand,8.0,6.95,4.8793,359.2229,-126.256,5.296935,6.92,7.841,5.296935
172,1fh9_ligand,6.43,5.27,1.4927,264.21492,-104.11,5.47813,5.93,5.444,5.47813
173,1fiv_ligand,6.59,8.06,8.572,835.530762,-264.245,6.899457,10.07,8.96,6.899457
174,1fhd_ligand,6.82,5.7,4.3766,265.858597,-102.843,5.098585,5.85,5.372,5.098585
175,1ecq_ligand,3.0,2.56,0.0458,197.28978,-31.573,1.49228,5.08,6.644,1.49228
176,1fkf_ligand,9.4,8.64,7.3568,509.682526,-182.71,7.917383,8.2,7.838,7.917383
177,1fkh_ligand,8.15,7.09,5.3029,364.403229,-121.897,5.207229,7.0,8.176,5.207229
178,1fjs_ligand,9.96,6.39,5.8716,429.455414,-142.887,5.714355,6.88,9.609,5.714355
179,1fki_ligand,7.0,8.61,6.6089,341.683472,-112.264,8.223006,6.98,6.43,8.223006
180,1f74_ligand,3.05,3.53,3.0407,272.809799,-95.62,3.826569,5.33,2.823,3.826569
181,1f73_ligand,2.39,3.01,1.4404,280.072464,-97.951,4.073336,5.34,3.033,4.073336
182,1fpc_ligand,7.0,6.84,5.4677,482.499207,-137.236,5.720191,6.8,6.417,5.720191
183,1fq5_ligand,8.4,9.0,11.0758,710.737122,-235.555,8.992119,9.75,9.018,8.992119
184,1fl3_ligand,6.8,6.47,5.6243,413.653961,-105.718,6.001532,7.22,7.137,6.001532
185,1flr_ligand,10.0,9.54,7.5658,327.066147,-127.95,9.52283,7.53,10.083,9.52283
186,1fkn_ligand,8.8,6.7,5.2806,700.249756,-225.27,5.276452,8.12,7.109,5.276452
187,1f8b_ligand,5.4,3.73,2.2882,282.707275,-66.549,3.965359,5.35,4.052,3.965359
188,1fm9_ligand,9.0,8.63,9.704,639.558075,-209.77,7.944304,9.7,8.38,7.944304
189,1f8c_ligand,7.4,4.66,4.4117,287.837921,-72.24,4.080081,5.49,5.329,4.080081
190,1f8d_ligand,3.4,4.78,3.6889,287.141312,-65.454,4.231987,5.37,4.496,4.231987
191,1f8e_ligand,4.82,5.01,5.1632,293.371124,-74.839,4.21085,5.46,5.661,4.21085
192,1fzq_ligand,7.62,6.64,8.5424,298.104492,-131.576,5.92816,5.92,5.788,5.92816
193,1fzj_ligand,8.1,7.0,8.9568,800.110107,-217.552,6.643644,8.69,8.591,6.643644
194,1g2k_ligand,7.96,8.42,8.685,633.523926,-253.181,8.41761,8.79,8.542,8.41761
195,1g2l_ligand,7.24,7.27,6.5196,461.418182,-172.698,6.544729,7.28,7.823,6.544729
196,1g3d_ligand,5.55,5.76,3.3949,222.716568,-91.707,4.467236,5.55,4.611,4.467236
197,1fzk_ligand,8.4,7.71,9.3111,785.184631,-214.682,7.061855,8.83,10.375,7.061855
198,1fzo_ligand,7.89,7.8,9.228,785.267151,-226.048,7.121114,9.02,10.645,7.121114
199,1g3e_ligand,5.38,5.44,3.3854,264.704056,-89.263,4.369457,5.47,4.703,4.369457
200,1fzm_ligand,7.7,7.24,8.6506,885.90448,-237.166,6.927573,8.84,9.672,6.927573
201,1fo0_ligand,5.59,6.69,12.2302,978.624817,-279.076,8.060396,10.92,10.245,8.060396
202,1g7f_ligand,5.47,5.97,7.0806,398.978363,-140.983,4.927683,6.25,5.733,4.927683
203,1g35_ligand,8.14,8.43,8.4479,654.648071,-238.415,8.070601,8.62,7.675,8.070601
204,1g32_ligand,6.11,6.63,6.6417,433.834686,-143.468,6.079186,7.11,6.408,6.079186
205,1g30_ligand,6.85,6.57,5.814,452.300781,-153.16,5.47066,7.01,6.511,5.47066
206,1g7g_ligand,6.6,5.44,6.3635,456.915314,-149.941,3.925081,6.49,5.795,3.925081
207,1g74_ligand,6.52,5.74,2.8182,395.890137,-80.916,2.864113,5.84,4.389,2.864113
208,1g36_ligand,7.17,6.8,5.8606,361.819214,-141.672,5.95915,6.58,7.265,5.95915
209,1g7q_ligand,6.06,5.36,4.5826,709.685486,-151.889,5.291422,7.14,8.519,5.291422
210,1g85_ligand,5.48,4.05,1.999,244.952301,-56.056,2.510059,5.16,4.631,2.510059
211,1g2o_ligand,10.6,6.46,4.5386,290.43959,-108.498,6.178438,5.97,7.019,6.178438
212,1ghz_ligand,4.8,5.64,4.3846,220.776978,-99.926,5.440396,5.39,4.868,5.440396
213,1gnm_ligand,6.25,5.77,5.3175,614.776459,-160.627,3.547632,7.03,6.551,3.547632
214,1gj6_ligand,7.0,6.71,6.6993,312.661224,-130.513,6.203043,6.67,7.544,6.203043
215,1gi7_ligand,4.51,5.55,4.191,225.403259,-81.516,5.278101,5.32,4.842,5.278101
216,1gfy_ligand,5.08,5.16,6.7847,244.501938,-88.627,4.724443,6.03,3.009,4.724443
217,1ghv_ligand,4.35,5.69,4.1748,258.835571,-106.85,5.130726,5.6,5.275,5.130726
218,1gaf_ligand,8.0,6.27,5.3591,309.493225,-99.175,4.878512,5.91,7.374,4.878512
219,1gnn_ligand,5.68,5.65,1.8107,604.985291,-164.527,3.359545,7.01,5.695,3.359545
220,1gai_ligand,8.0,6.62,4.3424,421.329346,-190.364,6.388563,7.03,5.29,6.388563
221,1gar_ligand,10.0,7.43,8.6718,595.51181,-199.873,5.151026,7.06,6.194,5.151026
222,1gno_ligand,7.7,5.74,2.4176,573.553375,-140.145,2.81577,6.96,7.818,2.81577
223,1gyx_ligand,2.48,3.64,4.3362,147.98053,-52.149,3.780667,5.1,2.642,3.780667
224,1gyy_ligand,3.64,3.8,4.0059,169.217712,-61.994,3.672918,5.3,3.342,3.672918
225,1h0a_ligand,5.44,4.75,8.5222,257.059891,-52.951,4.116635,4.84,5.883,4.116628
226,1gwv_ligand,2.57,3.72,1.3846,255.593491,-82.164,4.051422,4.97,2.783,4.051422
227,1h4w_ligand,4.66,4.51,3.8952,188.867943,-74.037,4.051891,5.12,3.903,4.051891
228,1gx8_ligand,6.37,5.48,4.3455,378.485809,-89.007,4.132141,6.52,6.95,4.132141
229,1gvw_ligand,6.96,7.14,4.6795,603.136078,-170.029,5.573754,7.58,5.901,5.573754
230,1h6h_ligand,5.3,4.63,4.3402,275.401215,-92.818,3.343446,4.77,4.825,3.343446
231,1gvx_ligand,7.22,7.02,8.1944,684.831177,-238.346,6.061012,8.23,9.275,6.061012
232,1gpk_ligand,5.37,7.19,6.1674,320.52417,-103.619,7.428387,6.47,6.219,7.428387
233,1gpn_ligand,6.48,6.98,6.4155,318.686493,-103.773,7.343974,6.47,7.792,7.343974
234,1h5v_ligand,3.93,4.34,1.2598,499.682098,-158.475,4.839326,6.3,4.213,4.839326
235,1hi3_ligand,4.19,3.47,2.0911,202.811844,-50.321,2.652243,4.49,8.254,2.652243
236,1hi4_ligand,4.49,3.4,5.0922,302.135101,-69.754,2.725308,5.19,6.459,2.725308
237,1hbv_ligand,6.37,6.52,5.9167,619.205872,-182.528,5.751913,7.66,6.954,5.751913
238,1hi5_ligand,4.04,3.52,2.7445,231.86113,-69.668,3.116224,4.79,7.636,3.116224
239,1h1s_ligand,8.22,7.23,6.9323,395.190552,-136.611,6.056144,6.7,8.069,6.056144
240,1g98_ligand,5.7,4.06,1.6553,233.710175,-56.579,3.201063,5.12,5.733,3.201063
241,1hih_ligand,8.05,8.14,7.803,619.153168,-209.004,6.77085,8.33,7.765,6.77085
242,1hmr_ligand,6.55,6.36,3.6108,415.68335,-108.534,3.612676,5.91,6.341,3.612676
243,1hii_ligand,7.28,7.89,8.4166,621.171722,-220.466,7.076466,8.49,7.748,7.076466
244,1grp_ligand,3.72,4.46,2.8688,165.602692,-24.562,3.869597,4.79,3.269,3.869597
245,1hms_ligand,6.37,6.62,3.7227,425.478485,-104.5,3.785213,5.93,6.444,3.785213
246,1hmt_ligand,5.79,6.42,3.7255,416.211578,-102.623,3.795286,6.0,6.52,3.795286
247,1h22_ligand,9.1,7.77,7.6548,514.512543,-160.332,7.121349,7.55,8.754,7.121349
248,1h46_ligand,3.57,4.19,3.3977,315.206253,-88.117,4.17195,5.92,3.64,4.17195
249,1h23_ligand,8.35,8.16,7.8812,539.691101,-169.719,7.08879,7.78,8.793,7.08879
250,1hos_ligand,8.55,8.01,5.6768,650.178131,-200.806,6.114883,8.52,7.778,6.114883
251,1hpo_ligand,9.22,8.2,6.8189,475.289825,-136.654,6.615557,7.49,9.138,6.615557
252,1hn4_ligand,3.82,5.52,4.0062,604.546692,-219.681,5.06739,7.39,5.657,5.06739
253,1hps_ligand,9.22,8.28,6.8805,642.845306,-212.525,6.401679,8.6,9.02,6.401679
254,1hpv_ligand,9.22,8.49,5.6784,550.251892,-182.813,5.8275,7.28,8.884,5.8275
255,1hsh_ligand,9.42,8.79,7.9729,656.083527,-216.282,8.057243,8.48,7.252,8.057243
256,1hpx_ligand,11.3,9.28,6.1081,591.922241,-182.809,6.264545,7.78,8.436,6.264545
257,1h2t_ligand,7.89,5.95,1.7876,472.606934,-163.148,6.083409,6.84,5.721,6.083409
258,1hvi_ligand,10.9,9.45,7.8773,720.633698,-249.38,7.397837,8.98,9.651,7.397837
259,1hvj_ligand,11.4,9.54,8.2349,713.62677,-244.443,7.24566,8.86,9.245,7.24566
260,1hvh_ligand,7.96,6.39,5.1544,573.1922,-150.674,5.502302,7.82,6.109,5.502302
261,1hvk_ligand,11.0,9.6,8.5411,733.666931,-266.475,7.845381,9.28,10.11,7.845381
262,1hk4_ligand,5.31,4.38,4.6056,386.138336,-54.178,3.343966,6.29,5.32,3.408702
263,1hvl_ligand,9.95,9.25,7.6139,718.907867,-242.488,7.310125,8.9,8.856,7.310125
264,1hvr_ligand,9.51,10.14,9.8023,606.968689,-255.459,10.196584,9.81,8.454,10.196584
265,1hp5_ligand,6.55,4.65,3.9562,235.690735,-71.818,4.01849,5.85,0.757,4.01849
