Receptor	Ligand	XScore_Score_pK	Energy	HPScore	HMScore	HSScore
1dar_protein	1dar_ligand	5.570000	-7.590000	5.54	5.78	5.39	
1e2k_protein	1e2k_ligand	6.030000	-8.230000	6.09	6.10	5.91	
1e2l_protein	1e2l_ligand	6.070000	-8.280000	6.08	6.17	5.95	
1ejn_protein	1ejn_ligand	6.640000	-9.060000	6.38	6.77	6.79	
1ela_protein	1ela_ligand	6.520000	-8.890000	6.32	6.99	6.25	
1ecv_protein	1ecv_ligand	6.170000	-8.420000	5.93	6.74	5.84	
1efy_protein	1efy_ligand	5.910000	-8.070000	5.98	5.95	5.81	
1elb_protein	1elb_ligand	6.120000	-8.350000	5.81	6.74	5.82	
1elc_protein	1elc_ligand	6.680000	-9.120000	6.76	6.47	6.83	
1eld_protein	1eld_ligand	6.500000	-8.870000	6.37	6.94	6.20	
1ele_protein	1ele_ligand	6.400000	-8.730000	6.08	6.97	6.15	
1ex8_protein	1ex8_ligand	7.480000	-10.210000	7.35	7.89	7.21	
1epo_protein	1epo_ligand	7.800000	-10.640000	7.67	8.10	7.63	
1ezq_protein	1ezq_ligand	7.960000	-10.850000	8.14	8.35	7.38	
1f0r_protein	1f0r_ligand	6.430000	-8.760000	6.50	6.46	6.31	
1f0t_protein	1f0t_ligand	6.060000	-8.270000	6.06	6.17	5.96	
1f0s_protein	1f0s_ligand	6.110000	-8.330000	6.19	6.19	5.94	
1ez9_protein	1ez9_ligand	5.400000	-7.360000	5.58	5.44	5.17	
1f0u_protein	1f0u_ligand	7.040000	-9.600000	6.97	7.42	6.73	
1drv_protein	1drv_ligand	7.010000	-9.560000	7.09	7.02	6.90	
1duv_protein	1duv_ligand	6.210000	-8.470000	6.03	6.58	6.02	
1f5k_protein	1f5k_ligand	5.020000	-6.840000	4.90	5.00	5.15	
1cet_protein	1cet_ligand	5.390000	-7.360000	5.14	6.04	5.00	
1f5l_protein	1f5l_ligand	5.410000	-7.380000	5.20	5.75	5.27	
1f4x_protein	1f4x_ligand	5.160000	-7.040000	5.12	5.43	4.93	
1egh_protein	1egh_ligand	4.820000	-6.580000	4.73	5.07	4.66	
1fao_protein	1fao_ligand	5.280000	-7.200000	5.22	5.54	5.07	
1f4f_protein	1f4f_ligand	5.770000	-7.860000	5.84	6.06	5.40	
1f4g_protein	1f4g_ligand	6.340000	-8.650000	6.45	6.59	5.99	
1bxr_protein	1bxr_ligand	7.040000	-9.610000	6.91	7.39	6.84	
1f4e_protein	1f4e_ligand	5.530000	-7.550000	5.44	5.84	5.32	
1fcx_protein	1fcx_ligand	9.300000	-12.680000	9.58	10.01	8.30	
1fcy_protein	1fcy_ligand	9.480000	-12.920000	9.75	10.19	8.48	
1fcz_protein	1fcz_ligand	9.090000	-12.400000	9.38	9.63	8.25	
1fd0_protein	1fd0_ligand	9.520000	-12.980000	9.74	10.27	8.54	
1fch_protein	1fch_ligand	6.590000	-8.990000	6.48	6.89	6.41	
1fiv_protein	1fiv_ligand	10.070000	-13.730000	9.78	10.54	9.88	
1e66_protein	1e66_ligand	7.160000	-9.770000	7.23	7.07	7.19	
1fh7_protein	1fh7_ligand	5.610000	-7.650000	5.51	5.86	5.46	
1fh9_protein	1fh9_ligand	5.930000	-8.080000	5.79	6.22	5.77	
1fhd_protein	1fhd_ligand	5.850000	-7.970000	5.74	6.10	5.69	
1fkb_protein	1fkb_ligand	8.110000	-11.070000	7.41	9.59	7.34	
1fh8_protein	1fh8_ligand	5.560000	-7.580000	5.45	5.83	5.40	
1fkg_protein	1fkg_ligand	6.920000	-9.440000	6.42	8.09	6.25	
1fkh_protein	1fkh_ligand	7.000000	-9.550000	6.60	8.03	6.39	
1fkf_protein	1fkf_ligand	8.200000	-11.190000	7.64	9.55	7.42	
1fjs_protein	1fjs_ligand	6.880000	-9.390000	7.00	7.03	6.62	
1fki_protein	1fki_ligand	6.980000	-9.520000	6.68	7.69	6.57	
1fl3_protein	1fl3_ligand	7.220000	-9.850000	7.48	7.29	6.90	
1fpc_protein	1fpc_ligand	6.800000	-9.280000	6.63	7.40	6.37	
1flr_protein	1flr_ligand	7.530000	-10.270000	7.40	8.14	7.04	
1fkn_protein	1fkn_ligand	8.120000	-11.070000	7.61	8.70	8.04	
1fm9_protein	1fm9_ligand	9.700000	-13.230000	9.82	10.20	9.07	
1d2e_protein	1d2e_ligand	6.200000	-8.460000	6.08	6.51	6.01	
1fq5_protein	1fq5_ligand	9.750000	-13.300000	9.01	10.95	9.30	
1fo0_protein	1fo0_ligand	10.920000	-14.890000	10.69	11.31	10.76	
1fzk_protein	1fzk_ligand	8.830000	-12.040000	8.61	9.18	8.70	
1fzj_protein	1fzj_ligand	8.690000	-11.850000	8.57	9.40	8.10	
1fzm_protein	1fzm_ligand	8.840000	-12.060000	8.79	9.21	8.53	
1g2k_protein	1g2k_ligand	8.790000	-11.990000	8.40	9.59	8.37	
1fzq_protein	1fzq_ligand	5.920000	-8.070000	5.82	6.21	5.73	
1g3d_protein	1g3d_ligand	5.550000	-7.570000	5.36	5.73	5.56	
1g2l_protein	1g2l_ligand	7.280000	-9.930000	7.43	7.49	6.92	
1g3e_protein	1g3e_ligand	5.470000	-7.450000	5.29	5.60	5.50	
1fzo_protein	1fzo_ligand	9.020000	-12.300000	8.93	9.21	8.92	
1g7f_protein	1g7f_ligand	6.250000	-8.520000	6.20	6.46	6.08	
1g7g_protein	1g7g_ligand	6.490000	-8.860000	6.64	6.69	6.15	
1g7v_protein	1g7v_ligand	4.380000	-5.970000	4.57	4.39	4.17	
1g30_protein	1g30_ligand	7.010000	-9.570000	7.01	7.35	6.67	
1g32_protein	1g32_ligand	7.110000	-9.700000	7.06	7.39	6.89	
1g35_protein	1g35_ligand	8.620000	-11.750000	8.32	9.38	8.16	
1g7q_protein	1g7q_ligand	7.140000	-9.740000	6.93	7.33	7.17	
1g74_protein	1g74_ligand	5.840000	-7.960000	5.89	6.18	5.44	
1f73_protein	1f73_ligand	5.340000	-7.280000	5.25	5.60	5.16	
1g36_protein	1g36_ligand	6.580000	-8.980000	6.45	6.82	6.48	
1f74_protein	1f74_ligand	5.330000	-7.260000	5.23	5.51	5.24	
1g85_protein	1g85_ligand	5.160000	-7.030000	5.14	5.32	5.01	
1ghz_protein	1ghz_ligand	5.390000	-7.360000	5.34	5.42	5.42	
1ghv_protein	1ghv_ligand	5.600000	-7.640000	5.54	5.64	5.62	
1gfy_protein	1gfy_ligand	6.030000	-8.230000	5.95	6.38	5.77	
1gaf_protein	1gaf_ligand	5.910000	-8.060000	5.91	6.20	5.61	
1gar_protein	1gar_ligand	7.060000	-9.630000	7.06	7.37	6.75	
1g2o_protein	1g2o_ligand	5.970000	-8.140000	5.93	6.18	5.80	
1gi7_protein	1gi7_ligand	5.320000	-7.250000	5.29	5.30	5.36	
1gj6_protein	1gj6_ligand	6.670000	-9.100000	6.50	6.68	6.85	
1gnm_protein	1gnm_ligand	7.030000	-9.590000	6.96	6.86	7.27	
1gnn_protein	1gnn_ligand	7.010000	-9.570000	6.93	6.92	7.19	
1gjc_protein	1gjc_ligand	6.240000	-8.520000	6.03	6.39	6.30	
1gno_protein	1gno_ligand	6.960000	-9.500000	6.79	7.22	6.88	
1gai_protein	1gai_ligand	7.030000	-9.590000	7.01	7.32	6.76	
1gyx_protein	1gyx_ligand	5.100000	-6.950000	5.04	5.43	4.82	
1gvw_protein	1gvw_ligand	7.580000	-10.340000	7.19	7.95	7.60	
1gyy_protein	1gyy_ligand	5.300000	-7.240000	5.23	5.66	5.03	
1gx8_protein	1gx8_ligand	6.520000	-8.890000	6.65	6.35	6.55	
1gvx_protein	1gvx_ligand	8.230000	-11.230000	8.14	8.87	7.69	
1gwv_protein	1gwv_ligand	4.970000	-6.770000	4.98	5.11	4.81	
1h0a_protein	1h0a_ligand	4.840000	-6.600000	4.79	5.08	4.65	
1h4w_protein	1h4w_ligand	5.120000	-6.990000	5.03	5.06	5.28	
1h6h_protein	1h6h_ligand	4.770000	-6.510000	4.67	5.33	4.31	
1h5v_protein	1h5v_ligand	6.300000	-8.590000	6.33	6.53	6.05	
1gpk_protein	1gpk_ligand	6.470000	-8.820000	6.38	6.39	6.64	
1gpn_protein	1gpn_ligand	6.470000	-8.820000	6.47	6.38	6.56	
1f8b_protein	1f8b_ligand	5.350000	-7.290000	5.23	5.44	5.37	
1hbv_protein	1hbv_ligand	7.660000	-10.440000	7.24	8.23	7.50	
1hi3_protein	1hi3_ligand	4.490000	-6.130000	4.53	4.63	4.32	
1hi4_protein	1hi4_ligand	5.190000	-7.070000	5.19	5.36	5.01	
1f8c_protein	1f8c_ligand	5.490000	-7.490000	5.33	5.64	5.50	
1hi5_protein	1hi5_ligand	4.790000	-6.530000	4.81	4.94	4.61	
1h1s_protein	1h1s_ligand	6.700000	-9.140000	6.52	6.91	6.69	
1hih_protein	1hih_ligand	8.330000	-11.360000	7.90	8.77	8.31	
1hii_protein	1hii_ligand	8.490000	-11.590000	8.09	9.08	8.31	
1hmr_protein	1hmr_ligand	5.910000	-8.060000	5.91	6.35	5.48	
1hms_protein	1hms_ligand	5.930000	-8.090000	5.90	6.35	5.53	
1hmt_protein	1hmt_ligand	6.000000	-8.180000	5.95	6.53	5.51	
1h46_protein	1h46_ligand	5.920000	-8.080000	5.77	6.04	5.96	
1f8d_protein	1f8d_ligand	5.370000	-7.330000	5.25	5.47	5.40	
1hos_protein	1hos_ligand	8.520000	-11.620000	8.07	9.52	7.96	
1hn4_protein	1hn4_ligand	7.390000	-10.080000	7.56	7.69	6.91	
1hpo_protein	1hpo_ligand	7.490000	-10.220000	7.30	7.81	7.36	
1grp_protein	1grp_ligand	4.790000	-6.530000	4.74	4.98	4.65	
1h22_protein	1h22_ligand	7.550000	-10.300000	7.73	7.76	7.18	
1hps_protein	1hps_ligand	8.600000	-11.730000	8.18	9.18	8.44	
1hpv_protein	1hpv_ligand	7.280000	-9.940000	7.08	7.65	7.11	
1hpx_protein	1hpx_ligand	7.780000	-10.610000	7.45	8.46	7.43	
1hsh_protein	1hsh_ligand	8.480000	-11.570000	8.26	8.93	8.25	
1h23_protein	1h23_ligand	7.780000	-10.620000	8.00	8.13	7.22	
1hvh_protein	1hvh_ligand	7.820000	-10.670000	7.65	8.66	7.15	
1hvi_protein	1hvi_ligand	8.980000	-12.250000	8.66	9.81	8.48	
1hvj_protein	1hvj_ligand	8.860000	-12.080000	8.55	9.66	8.36	
1hvk_protein	1hvk_ligand	9.280000	-12.660000	8.96	10.13	8.76	
1hvl_protein	1hvl_ligand	8.900000	-12.140000	8.62	9.70	8.39	
1f8e_protein	1f8e_ligand	5.460000	-7.450000	5.31	5.60	5.48	
1hvr_protein	1hvr_ligand	9.810000	-13.380000	9.46	11.02	8.95	
1hvs_protein	1hvs_ligand	8.640000	-11.790000	8.35	9.34	8.23	
1hwr_protein	1hwr_ligand	7.130000	-9.730000	6.77	7.77	6.85	
1hxb_protein	1hxb_ligand	8.820000	-12.030000	8.45	9.41	8.60	
1hxw_protein	1hxw_ligand	8.100000	-11.050000	7.91	8.80	7.60	
1iiq_protein	1iiq_ligand	9.080000	-12.380000	8.68	9.79	8.78	
1ie9_protein	1ie9_ligand	8.670000	-11.830000	8.71	9.03	8.28	
1ec9_protein	1ec9_ligand	5.290000	-7.220000	5.19	5.57	5.12	
1hp5_protein	1hp5_ligand	5.850000	-7.980000	5.77	5.94	5.84	
1hk4_protein	1hk4_ligand	6.290000	-8.580000	5.61	7.03	6.24	
1ikt_protein	1ikt_ligand	6.420000	-8.750000	6.39	6.82	6.04	
1ecq_protein	1ecq_ligand	5.080000	-6.920000	5.02	5.26	4.94	
1ivp_protein	1ivp_ligand	8.620000	-11.760000	8.16	9.52	8.18	
1j4r_protein	1j4r_ligand	6.430000	-8.770000	6.56	7.02	5.72	
1izh_protein	1izh_ligand	9.190000	-12.540000	8.84	9.86	8.89	
1i7z_protein	1i7z_ligand	6.500000	-8.870000	6.44	6.84	6.23	
1izi_protein	1izi_ligand	8.450000	-11.520000	8.16	8.65	8.53	
1ii5_protein	1ii5_ligand	4.990000	-6.810000	4.95	5.14	4.89	
1j14_protein	1j14_ligand	5.110000	-6.960000	5.03	5.04	5.25	
1g98_protein	1g98_ligand	5.120000	-6.990000	5.07	5.36	4.93	
1i2s_protein	1i2s_ligand	4.480000	-6.110000	4.48	4.54	4.41	
1j16_protein	1j16_ligand	5.110000	-6.970000	5.05	5.03	5.24	
1iih_protein	1iih_ligand	4.800000	-6.550000	4.74	5.03	4.63	
1j17_protein	1j17_ligand	7.020000	-9.580000	7.02	7.05	7.00	
1h2t_protein	1h2t_ligand	6.840000	-9.340000	6.85	7.07	6.61	
1j01_protein	1j01_ligand	5.740000	-7.820000	5.61	6.03	5.57	
1jn4_protein	1jn4_ligand	6.270000	-8.550000	6.31	6.38	6.13	
1i5r_protein	1i5r_ligand	9.950000	-13.570000	10.08	10.56	9.21	
1jq8_protein	1jq8_ligand	6.950000	-9.480000	6.88	7.30	6.67	
1jvu_protein	1jvu_ligand	5.420000	-7.400000	5.35	5.61	5.31	
1jyq_protein	1jyq_ligand	7.280000	-9.920000	7.25	7.66	6.92	
1k1i_protein	1k1i_ligand	6.390000	-8.720000	5.99	7.15	6.04	
1k1j_protein	1k1j_ligand	6.820000	-9.300000	6.59	7.45	6.41	
1jgl_protein	1jgl_ligand	7.330000	-9.990000	7.53	7.62	6.83	
1k1l_protein	1k1l_ligand	6.700000	-9.140000	6.53	7.13	6.43	
1k1m_protein	1k1m_ligand	6.780000	-9.250000	6.53	7.28	6.52	
1jak_protein	1jak_ligand	5.890000	-8.040000	5.78	6.06	5.84	
1k1n_protein	1k1n_ligand	6.240000	-8.510000	6.04	6.78	5.90	
1jqy_protein	1jqy_ligand	5.760000	-7.860000	5.62	6.26	5.41	
1jys_protein	1jys_ligand	4.600000	-6.280000	4.56	4.77	4.48	
1k1o_protein	1k1o_ligand	6.130000	-8.360000	5.99	6.54	5.86	
1igj_protein	1igj_ligand	6.970000	-9.500000	6.79	7.73	6.37	
1ik4_protein	1ik4_ligand	4.940000	-6.740000	4.85	5.19	4.78	
1jeu_protein	1jeu_ligand	6.610000	-9.010000	6.66	6.72	6.44	
1jet_protein	1jet_ligand	6.410000	-8.740000	6.37	6.57	6.29	
1jev_protein	1jev_ligand	7.640000	-10.420000	7.86	7.49	7.57	
1k6c_protein	1k6c_ligand	8.270000	-11.280000	8.00	8.59	8.21	
1k6p_protein	1k6p_ligand	8.380000	-11.430000	8.21	8.43	8.49	
1k6v_protein	1k6v_ligand	8.520000	-11.620000	8.29	8.68	8.58	
1k6t_protein	1k6t_ligand	8.420000	-11.480000	8.11	8.78	8.35	
1kjr_protein	1kjr_ligand	5.330000	-7.260000	5.30	5.44	5.24	
1k21_protein	1k21_ligand	6.800000	-9.280000	6.71	7.18	6.53	
1k22_protein	1k22_ligand	7.070000	-9.650000	7.08	7.22	6.91	
1jmg_protein	1jmg_ligand	5.320000	-7.250000	5.27	5.43	5.25	
1jmf_protein	1jmf_ligand	5.450000	-7.440000	5.38	5.60	5.38	
1kpm_protein	1kpm_ligand	7.340000	-10.010000	6.92	7.88	7.22	
1kdk_protein	1kdk_ligand	7.400000	-10.100000	7.52	7.51	7.18	
1kav_protein	1kav_ligand	6.490000	-8.850000	6.42	7.06	5.99	
1kzk_protein	1kzk_ligand	8.940000	-12.190000	8.62	9.42	8.77	
1km3_protein	1km3_ligand	5.480000	-7.470000	5.35	5.78	5.30	
1kel_protein	1kel_ligand	5.940000	-8.100000	6.09	6.21	5.50	
1ksn_protein	1ksn_ligand	7.580000	-10.340000	7.69	7.93	7.13	
1kzn_protein	1kzn_ligand	7.220000	-9.850000	6.76	8.13	6.77	
1l83_protein	1l83_ligand	5.060000	-6.900000	5.13	5.17	4.88	
1laf_protein	1laf_ligand	5.570000	-7.600000	5.50	5.83	5.38	
1kv1_protein	1kv1_ligand	7.040000	-9.600000	6.71	7.47	6.93	
1l8g_protein	1l8g_ligand	6.340000	-8.650000	6.36	6.57	6.08	
1lah_protein	1lah_ligand	5.180000	-7.070000	5.11	5.43	5.01	
1lbf_protein	1lbf_ligand	6.320000	-8.630000	6.30	6.67	6.01	
1lag_protein	1lag_ligand	5.230000	-7.140000	5.15	5.43	5.13	
1kv5_protein	1kv5_ligand	4.670000	-6.380000	4.60	4.91	4.52	
1lgw_protein	1lgw_ligand	5.030000	-6.850000	5.03	5.18	4.87	
1li2_protein	1li2_ligand	5.090000	-6.940000	5.11	5.24	4.91	
1li3_protein	1li3_ligand	5.190000	-7.080000	5.09	5.44	5.05	
1lke_protein	1lke_ligand	7.700000	-10.500000	7.72	8.04	7.34	
1li6_protein	1li6_ligand	4.540000	-6.190000	4.59	4.50	4.53	
1jlr_protein	1jlr_ligand	5.270000	-7.190000	5.31	5.42	5.07	
1lkl_protein	1lkl_ligand	5.510000	-7.520000	5.59	5.51	5.43	
