Receptor	Ligand	Score(pK)	Energy	gauss_1	gauss_2	repulsion	hydrophobic	Hydrogen	Cl	Br	I
1b3h_protein	1b3h_ligand	6.075337	-8.286760	137.37927	1941.99562	6.98930	40.45834	9.94082	0.00000	0.00000	0.00000	
1b3l_protein	1b3l_ligand	4.970711	-6.780050	107.03823	1418.95981	6.47847	14.86599	10.77200	0.00000	0.00000	0.00000	
1b4h_protein	1b4h_ligand	5.076188	-6.923920	125.36696	1676.46157	7.81255	19.91025	11.17661	0.00000	0.00000	0.00000	
1b4z_protein	1b4z_ligand	5.711158	-7.790020	131.66637	1755.31679	7.14732	21.42812	11.61815	0.00000	0.00000	0.00000	
1b5h_protein	1b5h_ligand	5.032148	-6.863850	121.19303	1603.81421	7.17956	15.42020	10.54508	0.00000	0.00000	0.00000	
1b5i_protein	1b5i_ligand	5.535154	-7.549950	127.82651	1736.19052	6.57507	20.87646	10.43820	0.00000	0.00000	0.00000	
1b05_protein	1b05_ligand	4.867412	-6.639150	124.00913	1600.44292	7.71543	15.23825	10.45070	0.00000	0.00000	0.00000	
1b5j_protein	1b5j_ligand	5.911034	-8.062650	138.77471	1818.34810	7.03988	27.33257	11.85203	0.00000	0.00000	0.00000	
1b6h_protein	1b6h_ligand	5.489685	-7.487930	128.20730	1678.24855	7.11627	30.26691	10.93327	0.00000	0.00000	0.00000	
1b6j_protein	1b6j_ligand	8.204787	-11.191330	130.39947	2484.05257	4.65777	48.08125	8.17958	0.00000	0.00000	0.00000	
1b6l_protein	1b6l_ligand	8.221364	-11.213940	104.93252	2069.27514	4.33228	47.34693	6.29833	0.00000	0.00000	0.00000	
1b6k_protein	1b6k_ligand	7.836063	-10.688390	114.27102	2417.77000	4.59217	66.94087	6.44534	0.00000	0.00000	0.00000	
1b7h_protein	1b7h_ligand	5.425836	-7.400840	131.93911	1760.42115	7.41034	34.49884	10.56994	0.00000	0.00000	0.00000	
1b8n_protein	1b8n_ligand	6.337595	-8.644480	104.41294	1356.32436	4.17123	2.64463	5.72699	0.00000	0.00000	0.00000	
1b8o_protein	1b8o_ligand	6.182119	-8.432410	93.27802	1279.70370	3.36584	2.07456	5.10259	0.00000	0.00000	0.00000	
1b9j_protein	1b9j_ligand	5.762793	-7.860450	126.42879	1739.92099	6.90127	30.94303	11.38214	0.00000	0.00000	0.00000	
1b38_protein	1b38_ligand	5.616576	-7.661010	100.70039	1818.13569	6.81715	0.00000	7.98310	0.00000	0.00000	0.00000	
1b32_protein	1b32_ligand	5.485828	-7.482670	138.49667	1747.35435	7.27234	20.86872	11.18341	0.00000	0.00000	0.00000	
1b40_protein	1b40_ligand	6.383644	-8.707290	148.53016	1983.67238	7.37240	47.84096	10.40816	0.00000	0.00000	0.00000	
1b46_protein	1b46_ligand	6.098585	-8.318470	122.60098	1687.35859	6.29477	26.39824	10.52518	0.00000	0.00000	0.00000	
1b51_protein	1b51_ligand	5.259223	-7.173580	117.78941	1589.91333	6.05578	14.30388	10.35409	0.00000	0.00000	0.00000	
1b52_protein	1b52_ligand	5.444934	-7.426890	122.28480	1630.15864	6.41367	18.70408	10.80788	0.00000	0.00000	0.00000	
1b58_protein	1b58_ligand	6.530711	-8.907890	149.22243	1980.91088	6.86808	41.36919	11.17022	0.00000	0.00000	0.00000	
1bai_protein	1bai_ligand	5.005557	-6.827580	121.45917	2748.01514	7.00031	52.01775	6.41627	0.00000	0.00000	0.00000	
1bcu_protein	1bcu_ligand	4.816122	-6.569190	61.69003	865.73146	0.63544	11.15260	0.74758	0.00000	0.00000	0.00000	
1bdq_protein	1bdq_ligand	6.749333	-9.206090	118.86946	2043.52022	3.61109	76.10596	4.44696	0.00000	0.00000	0.00000	
1bgq_protein	1bgq_ligand	5.799201	-7.910110	66.39172	1308.21682	3.16294	24.19852	1.83143	0.00000	0.00000	0.00000	
1bhf_protein	1bhf_ligand	4.299047	-5.863900	109.11411	1402.39462	3.95679	42.05287	5.88336	0.00000	0.00000	0.00000	
1bhx_protein	1bhx_ligand	6.370924	-8.689940	106.77827	1531.83669	2.84292	39.93487	4.35088	0.00000	0.00000	0.00000	
1bju_protein	1bju_ligand	5.669443	-7.733120	88.44624	1025.10107	2.65804	13.26336	4.50597	0.00000	0.00000	0.00000	
1bjv_protein	1bjv_ligand	5.310799	-7.243930	87.06835	1183.26452	3.34564	11.10494	4.77776	0.00000	0.00000	0.00000	
1bm7_protein	1bm7_ligand	4.833402	-6.592760	58.16995	1167.01648	3.05133	58.70716	0.94515	0.00000	0.00000	0.00000	
1bma_protein	1bma_ligand	4.872221	-6.645710	117.56420	1613.57154	5.38772	48.58892	2.77516	0.00000	0.00000	0.00000	
1bp0_protein	1bp0_ligand	5.077757	-6.926060	69.39673	1038.92069	5.18349	0.67368	8.94018	0.00000	0.00000	0.00000	
1br6_protein	1br6_ligand	5.811393	-7.926740	106.75489	1297.78134	4.95420	12.90780	5.48742	0.00000	0.00000	0.00000	
1bq4_protein	1bq4_ligand	3.769054	-5.140990	55.48790	1034.27816	4.63121	0.03494	6.01323	0.00000	0.00000	0.00000	
1bty_protein	1bty_ligand	3.652155	-4.981540	58.95094	621.57828	2.74753	3.67040	3.90539	0.00000	0.00000	0.00000	
1bv7_protein	1bv7_ligand	9.975007	-13.605910	184.25045	2650.35015	5.23278	104.27020	7.59347	0.00000	0.00000	0.00000	
1bv9_protein	1bv9_ligand	9.655337	-13.169880	175.33648	2677.61005	6.40579	90.99242	9.06879	0.00000	0.00000	0.00000	
1bxo_protein	1bxo_ligand	7.973519	-10.875880	146.56340	2051.68465	4.93095	65.46400	5.59333	0.00000	0.00000	0.00000	
1bwb_protein	1bwb_ligand	9.973431	-13.603760	177.08840	2897.79267	7.98598	89.32147	10.66898	0.00000	0.00000	0.00000	
1bwa_protein	1bwa_ligand	9.592815	-13.084600	162.41196	2687.24075	6.02465	78.00047	9.73803	0.00000	0.00000	0.00000	
1bxq_protein	1bxq_ligand	5.794817	-7.904130	142.04169	2033.97699	5.41418	65.51436	5.76892	0.00000	0.00000	0.00000	
1bzc_protein	1bzc_ligand	6.092361	-8.309980	125.17436	1303.66040	7.30516	81.46664	8.13383	0.00000	0.00000	0.00000	
1bxr_protein	1bxr_ligand	6.012720	-8.201350	154.18198	2047.67469	11.96319	0.00000	11.52683	0.00000	0.00000	0.00000	
1bzj_protein	1bzj_ligand	6.076415	-8.288230	103.95257	1142.36849	7.13955	81.57641	6.43663	0.00000	0.00000	0.00000	
1c3x_protein	1c3x_ligand	2.717669	-3.706900	72.33478	732.05877	4.09636	1.01992	1.30146	0.00000	0.00000	0.00000	
1bzy_protein	1bzy_ligand	6.788109	-9.258980	137.60021	1547.10148	10.42854	6.80513	12.94966	0.00000	0.00000	0.00000	
1c4u_protein	1c4u_ligand	5.705044	-7.781680	120.13735	1721.15277	7.29345	47.45501	4.26202	0.00000	0.00000	0.00000	
1c5c_protein	1c5c_ligand	6.239699	-8.510950	90.74700	1267.65907	5.44920	43.14410	5.61681	0.00000	0.00000	0.00000	
1c5n_protein	1c5n_ligand	3.650828	-4.979730	52.19926	771.11493	2.36378	2.62305	2.51800	0.00000	0.00000	0.00000	
1c5o_protein	1c5o_ligand	3.390982	-4.625300	45.48173	589.78801	1.98005	5.49548	3.14960	0.00000	0.00000	0.00000	
1c5p_protein	1c5p_ligand	3.855469	-5.258860	56.26622	607.50047	2.23912	3.63574	3.99242	0.00000	0.00000	0.00000	
1c5q_protein	1c5q_ligand	4.692933	-6.401160	66.66627	766.57753	1.86815	4.18168	3.50998	0.00000	0.00000	0.00000	
1c5s_protein	1c5s_ligand	4.525938	-6.173380	69.48541	730.51547	3.01287	6.92387	4.69866	0.00000	0.00000	0.00000	
1c5x_protein	1c5x_ligand	4.483028	-6.114850	78.59346	799.30483	3.60092	7.03492	4.27906	0.00000	0.00000	0.00000	
1c5t_protein	1c5t_ligand	4.521100	-6.166780	57.87058	747.98569	2.33431	4.75899	4.39875	0.00000	0.00000	0.00000	
1c5y_protein	1c5y_ligand	4.535359	-6.186230	71.39651	776.23104	3.11250	4.86158	4.47392	0.00000	0.00000	0.00000	
1c70_protein	1c70_ligand	8.356100	-11.397720	150.88980	2394.68795	4.22325	84.71831	4.97727	0.00000	0.00000	0.00000	
1c83_protein	1c83_ligand	5.450733	-7.434800	103.51304	1029.38239	6.12682	39.55380	5.99299	0.00000	0.00000	0.00000	
1c86_protein	1c86_ligand	4.670894	-6.371100	93.14051	1002.92930	7.78188	21.17425	8.14753	0.00000	0.00000	0.00000	
1c84_protein	1c84_ligand	5.473152	-7.465380	95.39650	1059.06609	5.76577	58.38695	4.63368	0.00000	0.00000	0.00000	
1c87_protein	1c87_ligand	4.289626	-5.851050	88.45741	1001.54870	7.95993	21.69491	7.65129	0.00000	0.00000	0.00000	
1ceb_protein	1ceb_ligand	3.151327	-4.298410	51.19387	555.50007	4.49024	34.80420	4.73461	0.00000	0.00000	0.00000	
1c88_protein	1c88_ligand	5.004113	-6.825610	104.93053	1025.70368	7.88971	24.12350	8.14449	0.00000	0.00000	0.00000	
1cet_protein	1cet_ligand	3.307918	-4.512000	54.57103	748.84317	1.01963	41.17163	0.39042	0.00000	0.00000	0.00000	
1d2e_protein	1d2e_ligand	6.212625	-8.474020	144.45644	1360.13485	9.53474	0.00000	13.70756	0.00000	0.00000	0.00000	
1d3d_protein	1d3d_ligand	6.559831	-8.947610	121.45985	1737.24345	2.73148	67.00558	1.00000	0.00000	0.00000	0.00000	
1d3p_protein	1d3p_ligand	6.377881	-8.699430	123.50024	1721.45526	1.54137	57.84433	0.92612	0.00000	0.00000	0.00000	
1d4i_protein	1d4i_ligand	8.970059	-12.235160	158.05269	2555.52523	4.34144	103.10747	6.52085	0.00000	0.00000	0.00000	
1d4h_protein	1d4h_ligand	8.509677	-11.607200	148.18135	2477.25257	5.18626	98.98485	7.29991	0.00000	0.00000	0.00000	
1d4j_protein	1d4j_ligand	8.432815	-11.502360	149.34098	2537.71439	4.28919	96.98290	6.34478	0.00000	0.00000	0.00000	
1d4l_protein	1d4l_ligand	7.595469	-10.360220	106.73414	2184.37193	5.21831	62.40164	6.03376	0.00000	0.00000	0.00000	
1d4p_protein	1d4p_ligand	7.365462	-10.046490	97.47984	1444.51056	2.17762	46.44550	3.35346	0.00000	0.00000	0.00000	
1d4k_protein	1d4k_ligand	7.993204	-10.902730	120.76721	2460.17340	6.14184	82.23471	6.53977	0.00000	0.00000	0.00000	
1d4y_protein	1d4y_ligand	7.293688	-9.948590	114.23422	2127.06494	3.88118	70.47917	3.08833	0.00000	0.00000	0.00000	
1d6w_protein	1d6w_ligand	4.866591	-6.638030	120.34128	1840.73653	9.00746	47.99222	2.80977	0.00000	0.00000	0.00000	
1d7i_protein	1d7i_ligand	1.151723	-1.570950	31.78426	304.43602	1.76978	0.00000	0.92035	0.00000	0.00000	0.00000	
1d7j_protein	1d7j_ligand	2.053614	-2.801130	28.42341	323.88414	0.77332	20.33966	0.79264	0.00000	0.00000	0.00000	
1d9i_protein	1d9i_ligand	4.112243	-5.609100	105.11436	1532.42510	7.73213	39.56921	2.61749	0.00000	0.00000	0.00000	
1dar_protein	1dar_ligand	3.995271	-5.449550	117.56355	1153.26757	9.44270	0.00000	9.61446	0.00000	0.00000	0.00000	
1det_protein	1det_ligand	3.579890	-4.882970	70.73605	791.15889	3.90614	0.00000	5.35020	0.00000	0.00000	0.00000	
1df8_protein	1df8_ligand	5.831877	-7.954680	86.85432	1158.05395	3.20497	33.54654	4.66174	0.00000	0.00000	0.00000	
1dgm_protein	1dgm_ligand	3.492603	-4.763910	51.48083	952.08045	3.66571	0.00000	3.76801	0.00000	0.00000	0.00000	
1dhi_protein	1dhi_ligand	5.432177	-7.409490	84.87866	1408.09800	2.74492	31.61614	4.51781	0.00000	0.00000	0.00000	
1dhj_protein	1dhj_ligand	5.860960	-7.994350	93.86788	1434.52126	3.17109	35.21717	5.32989	0.00000	0.00000	0.00000	
1dif_protein	1dif_ligand	7.977771	-10.881680	176.51040	2715.49396	4.47212	97.99925	6.20197	0.00000	0.00000	0.00000	
1dl7_protein	1dl7_ligand	2.049897	-2.796060	88.85702	916.60420	5.62961	12.60123	0.57807	0.00000	0.00000	0.00000	
1dmp_protein	1dmp_ligand	8.665609	-11.819890	125.13454	2153.02311	3.71682	89.67724	5.37282	0.00000	0.00000	0.00000	
1dqn_protein	1dqn_ligand	5.740674	-7.830280	103.19697	1114.77314	6.89493	2.52299	10.91171	0.00000	0.00000	0.00000	
1drj_protein	1drj_ligand	5.034032	-6.866420	74.11318	739.26405	5.40688	0.00000	9.80316	0.00000	0.00000	0.00000	
1drk_protein	1drk_ligand	4.814216	-6.566590	78.69094	742.26048	6.12267	0.00000	9.94068	0.00000	0.00000	0.00000	
1drv_protein	1drv_ligand	5.074758	-6.921970	144.96447	2097.62000	10.90709	20.97301	8.22803	0.00000	0.00000	0.00000	
1dud_protein	1dud_ligand	4.953365	-6.756390	83.06407	1053.28370	2.47133	10.47299	4.50819	0.00000	0.00000	0.00000	
1duv_protein	1duv_ligand	6.106642	-8.329460	116.11410	1210.03945	11.19698	2.04530	19.87916	0.00000	0.00000	0.00000	
1dzk_protein	1dzk_ligand	1.962617	-2.677010	25.23371	887.53218	3.59636	19.59576	0.00000	0.00000	0.00000	0.00000	
1e1v_protein	1e1v_ligand	3.970572	-5.415860	70.00551	1170.23336	4.31803	12.20180	2.05966	0.00000	0.00000	0.00000	
1e1x_protein	1e1x_ligand	4.141708	-5.649290	59.48827	1140.31200	4.23207	11.52492	4.17642	0.00000	0.00000	0.00000	
1e2k_protein	1e2k_ligand	5.388072	-7.349330	84.94871	1210.54500	3.67021	36.45487	2.01788	0.00000	0.00000	0.00000	
1e2l_protein	1e2l_ligand	5.267471	-7.184830	86.17940	1148.63279	4.45615	32.41559	3.50882	0.00000	0.00000	0.00000	
1e3g_protein	1e3g_ligand	8.154787	-11.123130	78.29575	1416.94150	2.35131	52.09107	2.56354	0.00000	0.00000	0.00000	
1e3v_protein	1e3v_ligand	4.420975	-6.030210	43.52249	1217.66698	2.39961	39.80626	1.00000	0.00000	0.00000	0.00000	
1e4h_protein	1e4h_ligand	4.200806	-5.729900	37.91249	749.78568	0.64930	35.01188	0.00000	0.00000	0.00000	0.00000	
1e5j_protein	1e5j_ligand	4.672647	-6.373490	100.50014	1577.36851	5.32596	0.00000	9.64056	0.00000	0.00000	0.00000	
1e66_protein	1e66_ligand	8.572940	-11.693490	126.46677	1345.51515	2.19678	89.23055	0.00000	0.00000	0.00000	0.00000	
1eb2_protein	1eb2_ligand	5.225865	-7.128080	137.08176	1419.32905	8.43861	40.06351	6.72018	0.00000	0.00000	0.00000	
1ebw_protein	1ebw_ligand	6.932317	-9.455680	130.81431	2395.67576	5.57794	81.95881	9.05011	0.00000	0.00000	0.00000	
1eby_protein	1eby_ligand	8.599751	-11.730060	154.24057	2545.65641	5.69358	100.43295	7.94473	0.00000	0.00000	0.00000	
1ebz_protein	1ebz_ligand	7.616349	-10.388700	138.34493	2453.40701	5.76542	81.06080	8.23221	0.00000	0.00000	0.00000	
1ec0_protein	1ec0_ligand	9.053460	-12.348920	170.93678	2717.83848	6.43784	103.04765	8.30385	0.00000	0.00000	0.00000	
1ec1_protein	1ec1_ligand	7.198614	-9.818910	151.05293	2688.09489	7.42580	79.54288	9.39352	0.00000	0.00000	0.00000	
1ec2_protein	1ec2_ligand	7.379523	-10.065670	142.53873	2694.85815	6.30742	80.24377	9.10248	0.00000	0.00000	0.00000	
1ec3_protein	1ec3_ligand	6.374399	-8.694680	146.77959	2647.83764	7.78247	74.08274	8.39523	0.00000	0.00000	0.00000	
1ec9_protein	1ec9_ligand	3.244699	-4.425770	81.74922	1012.38684	8.61408	0.00000	8.64465	0.00000	0.00000	0.00000	
1ecq_protein	1ecq_ligand	1.492280	-2.035470	82.30637	1017.81755	12.04076	0.77592	8.08278	0.00000	0.00000	0.00000	
1ecv_protein	1ecv_ligand	5.322405	-7.259760	98.48861	928.16335	5.83036	38.74188	6.44445	0.00000	0.00000	0.00000	
1efy_protein	1efy_ligand	5.925301	-8.082110	93.00987	1010.32332	1.64085	42.19974	1.49453	0.00000	0.00000	0.00000	
1egh_protein	1egh_ligand	3.401532	-4.639690	60.10965	672.70313	5.88304	0.00000	8.14717	0.00000	0.00000	0.00000	
1ejn_protein	1ejn_ligand	6.359186	-8.673930	100.55181	1371.12337	5.36012	7.29364	7.33307	0.00000	0.00000	0.00000	
1ela_protein	1ela_ligand	5.073622	-6.920420	93.86755	1409.52433	3.75388	43.99531	3.68983	0.00000	0.00000	0.00000	
1elb_protein	1elb_ligand	3.472170	-4.736040	102.48209	1376.79248	6.39169	39.84479	2.89370	0.00000	0.00000	0.00000	
1elc_protein	1elc_ligand	2.144018	-2.924440	157.35660	1669.87398	13.89895	43.19150	2.00000	0.00000	0.00000	0.00000	
1eld_protein	1eld_ligand	1.923343	-2.623440	108.92120	1501.42426	13.85645	52.95979	3.70283	0.00000	0.00000	0.00000	
1ele_protein	1ele_ligand	5.089311	-6.941820	96.69107	1289.24580	3.04217	35.19134	2.42506	0.00000	0.00000	0.00000	
1epo_protein	1epo_ligand	6.662925	-9.088230	141.75769	2118.93724	7.09054	53.77694	9.67794	0.00000	0.00000	0.00000	
1erb_protein	1erb_ligand	6.094963	-8.313530	56.54909	1495.07589	0.50669	68.97156	0.00000	0.00000	0.00000	0.00000	
1ex8_protein	1ex8_ligand	7.566569	-10.320800	188.36023	2353.75650	9.75238	0.00000	14.85741	0.00000	0.00000	0.00000	
1ez9_protein	1ez9_ligand	3.822500	-5.213890	107.16842	1533.54009	2.78390	0.00000	4.05927	0.00000	0.00000	0.00000	
1ezq_protein	1ezq_ligand	6.742639	-9.196960	167.28119	1654.17019	7.97965	101.54410	6.43506	0.00000	0.00000	0.00000	
1f0r_protein	1f0r_ligand	6.286232	-8.574420	121.75046	1477.57787	3.97517	36.75849	2.00000	0.00000	0.00000	0.00000	
1f0s_protein	1f0s_ligand	5.584655	-7.617470	125.00404	1355.26385	4.07394	35.35361	1.00000	0.00000	0.00000	0.00000	
1f0t_protein	1f0t_ligand	5.066386	-6.910550	103.80681	1259.64929	4.30687	17.23518	4.37705	0.00000	0.00000	0.00000	
1f0u_protein	1f0u_ligand	5.940088	-8.102280	129.49978	1413.93412	3.81261	42.71465	5.31429	0.00000	0.00000	0.00000	
1f4f_protein	1f4f_ligand	5.085843	-6.937090	73.88608	1426.28919	1.82726	48.86528	0.72572	0.00000	0.00000	0.00000	
1f4e_protein	1f4e_ligand	4.645872	-6.336970	41.36398	854.49715	1.04962	47.78153	1.32260	0.00000	0.00000	0.00000	
1f4g_protein	1f4g_ligand	5.958021	-8.126740	97.60746	1755.18400	3.28559	56.18000	3.56062	0.00000	0.00000	0.00000	
1f4x_protein	1f4x_ligand	4.075374	-5.558810	72.49515	939.26684	3.39122	5.33094	5.50335	0.00000	0.00000	0.00000	
1f5k_protein	1f5k_ligand	3.706048	-5.055050	50.65310	618.71749	2.10675	2.43144	3.72875	0.00000	0.00000	0.00000	
1f5l_protein	1f5l_ligand	4.826745	-6.583680	65.70827	908.94413	3.03976	0.73285	4.86939	0.00000	0.00000	0.00000	
1f8c_protein	1f8c_ligand	4.080081	-5.565230	73.65974	1050.84707	6.39920	8.57475	8.31188	0.00000	0.00000	0.00000	
1f8b_protein	1f8b_ligand	3.965359	-5.408750	72.46025	1066.64941	5.55263	9.18831	6.62008	0.00000	0.00000	0.00000	
1f8d_protein	1f8d_ligand	4.231987	-5.772430	76.09670	1062.39065	5.22742	8.78904	6.87034	0.00000	0.00000	0.00000	
1f73_protein	1f73_ligand	4.073336	-5.556030	72.39984	1136.38546	6.67825	0.57984	11.25617	0.00000	0.00000	0.00000	
1f8e_protein	1f8e_ligand	4.210850	-5.743600	73.52651	1054.52525	6.28495	8.57232	8.53211	0.00000	0.00000	0.00000	
1f74_protein	1f74_ligand	3.826569	-5.219440	74.64571	1068.82090	6.88857	2.42635	10.40675	0.00000	0.00000	0.00000	
1fao_protein	1fao_ligand	4.679450	-6.382770	81.19431	1059.81564	7.22044	0.00000	12.68089	0.00000	0.00000	0.00000	
1fch_protein	1fch_ligand	4.936496	-6.733380	112.36845	1936.40559	4.20561	27.87564	7.41846	0.00000	0.00000	0.00000	
1fcx_protein	1fcx_ligand	11.067067	-15.095480	117.33094	1934.35489	2.14168	136.46902	1.80544	0.00000	0.00000	0.00000	
1fcy_protein	1fcy_ligand	11.288277	-15.397210	117.86063	1931.16676	2.49580	140.95010	1.87339	0.00000	0.00000	0.00000	
1fcz_protein	1fcz_ligand	10.360147	-14.131240	117.45364	1809.00961	2.41880	136.54329	1.99919	0.00000	0.00000	0.00000	
1fd0_protein	1fd0_ligand	11.289465	-15.398830	125.52084	1978.27959	2.62000	136.95668	2.18203	0.00000	0.00000	0.00000	
1fh7_protein	1fh7_ligand	4.572676	-6.237130	89.74902	1003.79519	6.56754	0.00000	8.56799	0.00000	0.00000	0.00000	
1fh8_protein	1fh8_ligand	5.064018	-6.907320	80.41894	918.56381	5.20006	6.37780	8.61117	0.00000	0.00000	0.00000	
1fh9_protein	1fh9_ligand	5.478130	-7.472170	105.03443	1134.88598	9.58813	0.00000	13.84304	0.00000	0.00000	0.00000	
1fhd_protein	1fhd_ligand	5.098585	-6.954470	96.76737	1170.83928	6.85554	0.00000	8.62946	0.00000	0.00000	0.00000	
1fiv_protein	1fiv_ligand	6.899457	-9.410860	187.90688	2887.32193	11.78948	103.83818	11.02360	0.00000	0.00000	0.00000	
1fjs_protein	1fjs_ligand	5.714355	-7.794380	138.28513	1745.19418	6.79060	41.29611	3.79561	0.00000	0.00000	0.00000	
1fkb_protein	1fkb_ligand	7.720235	-10.530400	108.72504	1758.70498	3.01398	63.54465	4.28785	0.00000	0.00000	0.00000	
1fkf_protein	1fkf_ligand	7.917383	-10.799310	112.69679	1948.54480	3.21177	65.09614	4.28512	0.00000	0.00000	0.00000	
1fkg_protein	1fkg_ligand	5.296935	-7.225020	76.62823	1322.97655	2.27930	67.69729	2.45556	0.00000	0.00000	0.00000	
1fkh_protein	1fkh_ligand	5.207229	-7.102660	85.43343	1352.59453	2.96042	68.18941	2.26259	0.00000	0.00000	0.00000	
1fki_protein	1fki_ligand	8.223006	-11.216180	85.56990	1230.96612	1.55320	59.17285	1.79659	0.00000	0.00000	0.00000	
1fkn_protein	1fkn_ligand	5.276452	-7.197080	155.17233	2566.55038	9.91586	47.78336	13.14222	0.00000	0.00000	0.00000	
1fl3_protein	1fl3_ligand	6.001532	-8.186090	95.63924	1555.02625	4.18119	103.31453	0.00000	0.00000	0.00000	0.00000	
