FileName,SMILES
1ajv_ligand.mol2,[H]O[C@]1([H])[C@@]([H])(O[H])[C@@]([H])(C([H])([H])Oc2c([H])c([H])c([H])c([H])c2[H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])S(=O)(=O)N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[C@]1([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1[H]
1ajx_ligand.mol2,[H]O[C@]1([H])[C@@]([H])(O[H])[C@@]([H])(C([H])([H])Oc2c([H])c([H])c([H])c([H])c2[H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C(=O)N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[C@]1([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1[H]
1alw_ligand.mol2,[H]S[C@]([H])(C(=O)[O-])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
1amk_ligand.mol2,[H]C([H])(O[P+](=O)(=O)[O-])C(=O)[O-]
1amw_ligand.mol2,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=Nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])O[P@@](=O)([O-])O[P+](=O)(=O)[O-]
1apv_ligand.mol2,[H]OC(O[H])(C(F)(F)C(=O)N([H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
1atl_ligand.mol2,[H]SC([H])([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
1atr_ligand.mol2,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=Nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])O[P@@](=O)([O-])O[P+](=O)(=O)[O-]
1avn_ligand.mol2,[H]C1=NC([H])=C(C([H])([H])C([H])([H])[N+]([H])([H])[H])N1[H]
1ax0_ligand.mol2,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]([H])(O[H])[C@@]1([H])O[H]
1azm_ligand.mol2,[H]N(C(=O)C([H])([H])[H])C1=NN=C(S(=O)(=O)N([H])[H])S1
1b05_ligand.mol2,[H]SC([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H]
1b0h_ligand.mol2,[H]c1c([H])c([H])c2c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])c([H])c([H])c([H])c2c1[H]
1b1h_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])c([H])c1[H]
1b2h_ligand.mol2,[H]N(C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
1b32_ligand.mol2,[H]N(C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H]
1b38_ligand.mol2,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=Nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])O[P@@](=O)([O-])O[P@@](=O)([O-])O[P+](=O)(=O)[O-]
1b3f_ligand.mol2,[H]C1=NC([H])=C(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])N1[H]
1b3g_ligand.mol2,[H]N(C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
1b3h_ligand.mol2,[H]N(C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
1b3l_ligand.mol2,[H]N(C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])C([H])([H])C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
1b40_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])c([H])c1[H]
1b46_ligand.mol2,[H]N(C(=O)[C@@]1([H])N(C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
1b4h_ligand.mol2,[H]N(C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
1b4z_ligand.mol2,[H]N(C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C(=O)[O-]
1b51_ligand.mol2,[H]OC([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H]
1b52_ligand.mol2,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H]
1b55_ligand.mol2,[H]O[C@@]1([H])[C@@]([H])(O[P+](=O)(=O)[O-])[C@]([H])(O[H])[C@@]([H])(O[P+](=O)(=O)[O-])[C@]([H])(O[P+](=O)(=O)[O-])[C@@]1([H])O[P+](=O)(=O)[O-]
1b57_ligand.mol2,[H]ON([H])C(=O)C([H])([H])O[P+](=O)(=O)[O-]
1b58_ligand.mol2,[H]Oc1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])c([H])c1[H]
1b5h_ligand.mol2,[H]N(C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])C([H])([H])[N+]([H])([H])[H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
1b5i_ligand.mol2,[H]N([H])C(=O)C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H]
1b5j_ligand.mol2,[H]N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H]
1b6h_ligand.mol2,[H]N(C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
1b6j_ligand.mol2,[H]O[C@@]([H])(C([H])([H])[N@+]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])[C@@]1([H])N([H])C(=O)[C@]([H])(C([H])([H])C(=O)N([H])[H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])Oc2c([H])c([H])c(c([H])c2[H])C1([H])[H]
1b6k_ligand.mol2,[H]Oc1c([H])c([H])c(C([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N2C(=O)C([H])([H])C([H])([H])C2([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(O[H])C([H])([H])[N+]([H])([H])[C@]2([H])C(=O)N([H])[C@@]([H])([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])Oc3c([H])c([H])c(c([H])c3[H])C2([H])[H])c([H])c1[H]
1b6l_ligand.mol2,[H]O[C@]([H])(C([H])([H])[N@+]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[C@@]1([H])N([H])C(=O)[C@]([H])(C([H])([H])C(=O)N([H])[H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])Oc2c([H])c([H])c(c([H])c2[H])C1([H])[H]
1b7h_ligand.mol2,[H]N(C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
1b8n_ligand.mol2,[H]OC([H])([H])[C@]1([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(C2=C([H])N([H])C3=C2N=C(N([H])[H])N([H])C3=O)[N+]1([H])[H]
1b8o_ligand.mol2,[H]OC([H])([H])[C@]1([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(C2=C([H])N([H])C3=C2N=C([H])N([H])C3=O)[N+]1([H])[H]
1b8y_ligand.mol2,[H]c1c([H])c([H])c(C2([H])C([H])([H])C([H])([H])N(c3c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])C(=O)[O-])c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H]
1b9j_ligand.mol2,[H]N(C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
1bai_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)[O-])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H])[N+]([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
1bcd_ligand.mol2,[H]N([H])S(=O)(=O)C(F)(F)F
1bcu_ligand.mol2,[H]c1c(N([H])[H])c([H])c2nc3c([H])c(N([H])[H])c([H])c([H])c3c([H])c2c1[H]
1bdq_ligand.mol2,[H]O[C@@]([H])(C([H])([H])[C@]([H])(C(=O)N([H])[C@]([H])(C1=NC([H])=C([H])N1[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])[C@@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
1bgq_ligand.mol2,[H]Oc1c([H])c(O[H])c2c(c1Cl)C([H])([H])C(=O)C([H])=C([H])C([H])=C([H])[C@@]1([H])O[C@]1([H])C([H])([H])[C@@]([H])(C([H])([H])[H])OC2=O
1bhf_ligand.mol2,[H]c1c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)[O-])C([H])([H])C([H])([H])C(=O)[O-])N([H])C(=O)C([H])([H])[H])c([H])c([H])c1C([H])([H])C(=O)[O-]
1bhx_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])S(=O)(=O)N([H])[C@@]2([H])C(=O)N3[C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H])C([H])([H])S[C@@]3([H])C([H])([H])C2([H])[H])c([H])c1[H]
1bju_ligand.mol2,[H]c1c([H])c(N([H])C(=O)N([H])c2c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c2[H])c([H])c([H])c1Cl
1bjv_ligand.mol2,[H]c1c([H])c([H])c(Oc2c([H])c([H])c(N([H])C(=O)N([H])c3c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c3[H])c([H])c2[H])c([H])c1[H]
1bm7_ligand.mol2,[H]c1c([H])c([H])c(N([H])c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c(C(=O)[O-])c1[H]
1bma_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])[N@+](N([H])C(=O)[C@@]([H])(N([H])C(=O)C(F)(F)F)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)N([H])c2c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c1[H]
1bn1_ligand.mol2,[H]C1=C(S(=O)(=O)N([H])[H])SC(S(=O)(=O)N([H])C([H])([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])=C1[H]
1bn3_ligand.mol2,[H]C1=C([H])N(c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])S(=O)(=O)C2=C1C([H])=C(S(=O)(=O)N([H])[H])S2
1bn4_ligand.mol2,[H]C1=C(S(=O)(=O)N([H])[H])SC(S(=O)(=O)N([H])C([H])([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])=C1[H]
1bnn_ligand.mol2,[H]C1=C(S(=O)(=O)N([H])[H])SC2=C1C([H])([H])C([H])([H])N(c1c([H])c([H])c([H])c(OC([H])([H])[H])c1[H])S2(=O)=O
1bnq_ligand.mol2,[H]C1=C(S(=O)(=O)N([H])[H])SC2=C1[C@@]([H])([N+]([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])C([H])([H])OC([H])([H])[H])S2(=O)=O
1bnt_ligand.mol2,[H]O[C@]1([H])C2=C(SC(S(=O)(=O)N([H])[H])=C2[H])S(=O)(=O)N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])C1([H])[H]
1bnu_ligand.mol2,[H]O[C@]1([H])C2=C(SC(S(=O)(=O)N([H])[H])=C2[H])S(=O)(=O)N(C([H])([H])C2=C([H])C([H])=C([H])S2)C1([H])[H]
1bnv_ligand.mol2,[H]C1=C(S(=O)(=O)N([H])[H])SC2=C1[C@]([H])([N+]([H])([H])C([H])([H])[H])C([H])([H])N(c1c([H])c([H])c([H])c(OC([H])([H])[H])c1[H])S2(=O)=O
1bnw_ligand.mol2,[H]C1=C([H])C([H])=C(C([H])([H])N([H])S(=O)(=O)C2=C([H])C([H])=C(S(=O)(=O)N([H])[H])S2)S1
1bp0_ligand.mol2,[H]O[C@@]1([H])C([H])([H])[C@]([H])(N2C(=O)N([H])C(=O)C([H])=C2[H])O[C@]1([H])C([H])([H])O[P+](=O)(=O)[O-]
1bq4_ligand.mol2,O=C([O-])c1c(C(=O)[O-])c(C(=O)[O-])c(C(=O)[O-])c(C(=O)[O-])c1C(=O)[O-]
1br6_ligand.mol2,[H]c1nc2c(nc1C([H])([H])N([H])c1c([H])c([H])c(C(=O)[O-])c([H])c1[H])C(=O)N([H])C(N([H])[H])=N2
1bty_ligand.mol2,[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H]
1bv7_ligand.mol2,[H]O[C@]1([H])[C@@]([H])(O[H])[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])N(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])C3=NC([H])=C([H])S3)c2[H])C(=O)N(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])C3=NC([H])=C([H])S3)c2[H])[C@]1([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
1bv9_ligand.mol2,[H]O[C@]1([H])[C@@]([H])(O[H])[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])N(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])C3=NC([H])=C([H])S3)c2[H])C(=O)N(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])C3=NC([H])=C([H])S3)c2[H])[C@]1([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
